index,age,working_sector,financial_weight,qualification,years_of_education,tax_paid,loan_taken,marital_status,occupation,relationship,ethnicity,gender,gain,loss,working_hours,country,target
26,56,local_body,216851, Bachelors,13,NA,0,Married-civilian,support, Husband, White, Male,0,0,40, United-States,1
27,19,private,168294, HS-grad,9,NA,0,Never-married,repair, Own-child, White, Male,0,0,40, United-States,0
28,54,NA,180211, Some-college,10,NA,0,Married-civilian,NA, Husband, Asian-Pac-Islander, Male,0,0,60, South,1
29,39,private,367260, HS-grad,9,NA,0,Divorced,managerial, Not-in-family, White, Male,0,0,80, United-States,0
30,49,private,193366, HS-grad,9,NA,0,Married-civilian,repair, Husband, White, Male,0,0,40, United-States,0
31,23,local_body,190709, Assoc-acdm,12,NA,0,Never-married,guard, Not-in-family, White, Male,0,0,52, United-States,0
32,20,private,266015, Some-college,10,NA,0,Never-married,sales, Own-child, Black, Male,0,0,44, United-States,0
33,45,private,386940, Bachelors,13,NA,0,Divorced,managerial, Own-child, White, Male,0,1408,40, United-States,0
34,30,national,59951, Some-college,10,NA,0,Married-civilian,clerical, Own-child, White, Male,0,0,40, United-States,0
35,22,state,311512, Some-college,10,NA,0,Married-civilian,other, Husband, Black, Male,0,0,15, United-States,0
36,48,private,242406, 11th,7,NA,0,Never-married,inspector, Unmarried, White, Male,0,0,40, Puerto-Rico,0
37,21,private,197200, Some-college,10,NA,0,Never-married,inspector, Own-child, White, Male,0,0,40, United-States,0
38,19,private,544091, HS-grad,9,3171.8000192195,1,Married-defence,clerical, Wife, White, Female,0,0,25, United-States,0
39,31,private,84154, Some-college,10,NA,0,Married-civilian,sales, Husband, White, Male,0,0,38,NA,1
40,48,self_employed,265477, Assoc-acdm,12,7687.0968565345,1,Married-civilian,specialty, Husband, White, Male,0,0,40, United-States,0
41,31,private,507875, 9th,5,NA,0,Married-civilian,inspector, Husband, White, Male,0,0,43, United-States,0
42,53,self_employed,88506, Bachelors,13,NA,0,Married-civilian,specialty, Husband, White, Male,0,0,40, United-States,0
43,24,private,172987, Bachelors,13,NA,0,Married-civilian,support, Husband, White, Male,0,0,50, United-States,0
44,49,private,94638, HS-grad,9,NA,0,Separated,clerical, Unmarried, White, Female,0,0,40, United-States,0
45,25,private,289980, HS-grad,9,NA,0,Never-married,cleaner, Not-in-family, White, Male,0,0,35, United-States,0
46,57,national,337895, Bachelors,13,NA,0,Married-civilian,specialty, Husband, Black, Male,0,0,40, United-States,1
47,53,private,144361, HS-grad,9,NA,0,Married-civilian,inspector, Husband, White, Male,0,0,38, United-States,0
48,44,private,128354, Masters,14,NA,0,Divorced,managerial, Unmarried, White, Female,0,0,40, United-States,0
49,41,state,101603, Assoc-voc,11,,0,Married-civilian,repair, Husband, White, Male,0,0,40, United-States,0
50,29,private,271466, Assoc-voc,11,8195.9425006062,0,Never-married,specialty, Not-in-family, White, Male,0,0,43, United-States,0
51,25,private,32275, Some-college,10,8480.984759517,0,Married-civilian,managerial, Wife, Other, Female,0,0,40, United-States,0
52,18,private,226956, HS-grad,9,8718.956079334,0,Never-married,other, Own-child, White, Female,0,0,30,NA,0
53,47,private,51835, Prof-school,15,8266.9974025339,0,Married-civilian,specialty, Wife, White, Female,0,1902,60, Honduras,1
54,50,national,251585, Bachelors,13,5021.5769726783,0,Divorced,managerial, Not-in-family, White, Male,0,0,55, United-States,1
55,47,self_employed,109832, HS-grad,9,6398.672179319,0,Divorced,managerial, Not-in-family, White, Male,0,0,60, United-States,0
56,43,private,237993, Some-college,10,5222.6117951796,0,Married-civilian,support, Husband, White, Male,0,0,40, United-States,1
57,46,private,216666, 5th-6th,3,5725.3081304953,0,Married-civilian,inspector, Husband, White, Male,0,0,40, Mexico,0
58,35,private,56352, Assoc-voc,11,7106.1531910673,0,Married-civilian,other, Husband, White, Male,0,0,40, Puerto-Rico,0
59,41,private,147372, HS-grad,9,6467.4719199538,0,Married-civilian,clerical, Husband, White, Male,0,0,48, United-States,0
60,30,private,188146, HS-grad,9,7846.9944745302,0,Married-civilian,inspector, Husband, White, Male,5013,0,40, United-States,0
61,30,private,59496, Bachelors,13,6600.0443799421,0,Married-civilian,sales, Husband, White, Male,2407,0,40, United-States,0
62,32,NA,293936, 7th-8th,4,6843.1955091655,0,Married-non-resident,NA, Not-in-family, White, Male,0,0,40,NA,0
63,48,private,149640, HS-grad,9,6445.7043576986,0,Married-civilian,transport, Husband, White, Male,0,0,40, United-States,0
64,42,private,116632, Doctorate,16,8474.5716666803,0,Married-civilian,specialty, Husband, White, Male,0,0,45, United-States,1
65,29,private,105598, Some-college,10,6520.8071731031,0,Divorced,support, Not-in-family, White, Male,0,0,58, United-States,0
66,36,private,155537, HS-grad,9,5092.8102778271,0,Married-civilian,repair, Husband, White, Male,0,0,40, United-States,0
67,53,private,169846, HS-grad,9,5945.8447303623,0,Married-civilian,clerical, Wife, White, Female,0,0,40, United-States,1
68,49,self_employed,191681, Some-college,10,8226.3796487823,0,Married-civilian,managerial, Husband, White, Male,0,0,50, United-States,1
69,25,NA,200681, Some-college,10,5470.6601630896,0,Never-married,NA, Own-child, White, Male,0,0,40, United-States,0
70,19,private,101509, Some-college,10,6178.0681284145,0,Never-married,specialty, Own-child, White, Male,0,0,32, United-States,0
71,31,private,309974, Bachelors,13,5142.2967733815,0,Separated,sales, Own-child, Black, Female,0,0,40, United-States,0
72,29,self_employed,162298, Bachelors,13,5497.4643737078,0,Married-civilian,sales, Husband, White, Male,0,0,70, United-States,1
73,23,private,211678, Some-college,10,8684.0617367998,0,Never-married,inspector, Not-in-family, White, Male,0,0,40, United-States,0
74,79,private,124744, Some-college,10,5320.4881781712,0,Married-civilian,specialty, Other-relative, White, Male,0,0,20, United-States,0
75,27,private,213921, HS-grad,9,5197.2071407363,0,Never-married,other, Own-child, White, Male,0,0,40, Mexico,0
76,40,private,32214, Assoc-acdm,12,5391.9061757624,0,Married-civilian,clerical, Husband, White, Male,0,0,40, United-States,0
77,67,NA,212759, 10th,6,8926.6819134355,0,Married-civilian,NA, Husband, White, Male,0,0,2, United-States,0
78,18,private,309634, 11th,7,6561.4310093224,0,Never-married,other, Own-child, White, Female,0,0,22, United-States,0
79,31,local_body,125927, 7th-8th,4,7182.2035331279,0,Married-civilian,farming, Husband, White, Male,0,0,40, United-States,0
80,18,private,446839, HS-grad,9,8178.7316994742,0,Never-married,sales, Not-in-family, White, Male,0,0,30, United-States,0
81,52,private,276515, Bachelors,13,8704.555708915,0,Married-civilian,other, Husband, White, Male,0,0,40, Cuba,0
82,46,private,51618, HS-grad,9,7534.8869115114,0,Married-civilian,other, Wife, White, Female,0,0,40, United-States,0
83,59,private,159937, HS-grad,9,8987.8529589623,0,Married-civilian,sales, Husband, White, Male,0,0,48, United-States,0
84,44,private,343591, HS-grad,9,6643.4233728796,0,Divorced,repair, Not-in-family, White, Female,14344,0,40, United-States,1
85,53,private,346253, HS-grad,9,6192.3199370503,0,Divorced,sales, Own-child, White, Female,0,0,35, United-States,0
86,49,local_body,268234, HS-grad,9,6378.546314314,0,Married-civilian,guard, Husband, White, Male,0,0,40, United-States,1
87,33,private,202051, Masters,14,6750.6426377222,0,Married-civilian,specialty, Husband, White, Male,0,0,50, United-States,0
88,30,private,54334, 9th,5,6274.2199720815,0,Never-married,sales, Not-in-family, White, Male,0,0,40, United-States,0
89,43,national,410867, Doctorate,16,8069.8659401387,0,Never-married,specialty, Not-in-family, White, Female,0,0,50, United-States,1
90,57,private,249977, Assoc-voc,11,6381.6137872636,0,Married-civilian,specialty, Husband, White, Male,0,0,40, United-States,0
91,37,private,286730, Some-college,10,6810.6771381572,0,Divorced,repair, Unmarried, White, Female,0,0,40, United-States,0
92,28,private,212563, Some-college,10,6387.0873721317,0,Divorced,inspector, Unmarried, Black, Female,0,0,25, United-States,0
93,30,private,117747, HS-grad,9,8353.7110602483,0,Married-civilian,sales, Wife, Asian-Pac-Islander, Female,0,1573,35,NA,0
94,34,local_body,226296, Bachelors,13,7575.7175879553,0,Married-civilian,guard, Husband, White, Male,0,0,40, United-States,1
95,48,self_employed,191277, Doctorate,16,5906.5916538239,0,Married-civilian,specialty, Husband, White, Male,0,1902,60, United-States,1
96,37,private,202683, Some-college,10,5994.3622387946,0,Married-civilian,sales, Husband, White, Male,0,0,48, United-States,1
97,48,private,171095, Assoc-acdm,12,5400.8944919333,0,Divorced,managerial, Unmarried, White, Female,0,0,40, England,0
98,32,national,249409, HS-grad,9,6295.2088844031,0,Never-married,other, Own-child, Black, Male,0,0,40, United-States,0
99,76,private,124191, Masters,14,5753.9949854836,0,Married-civilian,managerial, Husband, White, Male,0,0,40, United-States,1
100,44,private,198282, Bachelors,13,5753.5946005955,0,Married-civilian,managerial, Husband, White, Male,15024,0,60, United-States,1
101,47,self_employed,149116, Masters,14,6979.5228121802,0,Never-married,specialty, Not-in-family, White, Female,0,0,50, United-States,0
102,20,private,188300, Some-college,10,8625.7654689252,0,Never-married,support, Own-child, White, Female,0,0,40, United-States,0
103,29,private,103432, HS-grad,9,5839.0441453084,0,Never-married,repair, Not-in-family, White, Male,0,0,40, United-States,0
104,32,self_employed,317660, HS-grad,9,8478.682092391,0,Married-civilian,repair, Husband, White, Male,7688,0,40, United-States,1
105,17,NA,304873, 10th,6,5153.3997692168,0,Never-married,NA, Own-child, White, Female,34095,0,32, United-States,0
106,30,private,194901, 11th,7,7934.5350768417,0,Never-married,cleaner, Own-child, White, Male,0,0,40, United-States,0
107,31,local_body,189265, HS-grad,9,6572.8748226538,0,Never-married,clerical, Not-in-family, White, Female,0,0,40, United-States,0
108,42,private,124692, HS-grad,9,6194.7549208999,0,Married-civilian,cleaner, Husband, White, Male,0,0,40, United-States,0
109,24,private,432376, Bachelors,13,6774.403787218,0,Never-married,sales, Other-relative, White, Male,0,0,40, United-States,0
110,38,private,65324, Prof-school,15,6918.9423713833,0,Married-civilian,specialty, Husband, White, Male,0,0,40, United-States,1
111,56,self_employed,335605, HS-grad,9,8254.5279217884,0,Married-civilian,other, Husband, White, Male,0,1887,50, Canada,1
112,28,private,377869, Some-college,10,5510.1987542585,0,Married-civilian,sales, Wife, White, Female,4064,0,25, United-States,0
113,36,private,102864, HS-grad,9,6197.1738571301,0,Never-married,inspector, Own-child, White, Female,0,0,40, United-States,0
114,53,private,95647, 9th,5,5004.099923186,0,Married-civilian,cleaner, Husband, White, Male,0,0,50, United-States,0
115,56,self_employed,303090, Some-college,10,8152.6950374246,0,Married-civilian,sales, Husband, White, Male,0,0,50, United-States,0
116,49,local_body,197371, Assoc-voc,11,8798.1326309964,0,Married-civilian,repair, Husband, Black, Male,0,0,40, United-States,1
117,55,private,247552, Some-college,10,5380.7041374967,0,Married-civilian,sales, Husband, White, Male,0,0,56, United-States,0
118,22,private,102632, HS-grad,9,8462.5887349248,0,Never-married,repair, Not-in-family, White, Male,0,0,41, United-States,0
119,21,private,199915, Some-college,10,7286.9078014046,0,Never-married,other, Own-child, White, Female,0,0,40, United-States,0
120,40,private,118853, Bachelors,13,8562.0911177248,0,Married-civilian,managerial, Husband, White, Male,0,0,60, United-States,0
121,30,private,77143, Bachelors,13,6837.9137376323,0,Never-married,managerial, Own-child, Black, Male,0,0,40, Germany,0
122,29,state,267989, Bachelors,13,7315.5669877306,0,Married-civilian,specialty, Husband, White, Male,0,0,50, United-States,1
123,19,private,301606, Some-college,10,6999.7530318797,0,Never-married,other, Own-child, Black, Male,0,0,35, United-States,0
124,47,private,287828, Bachelors,13,7135.5620110408,0,Married-civilian,managerial, Wife, White, Female,0,0,40, United-States,1
125,20,private,111697, Some-college,10,7988.5700447485,0,Never-married,clerical, Own-child, White, Female,0,1719,28, United-States,0
126,31,private,114937, Assoc-acdm,12,6664.2013918608,0,Married-civilian,clerical, Husband, White, Male,0,0,40, United-States,1
127,35,NA,129305, HS-grad,9,7216.2826023996,0,Married-civilian,NA, Husband, White, Male,0,0,40, United-States,0
128,39,private,365739, Some-college,10,7212.443719618,0,Divorced,repair, Not-in-family, White, Male,0,0,40, United-States,0
129,28,private,69621, Assoc-acdm,12,5619.1500332207,0,Never-married,sales, Not-in-family, White, Female,0,0,60, United-States,0
130,24,private,43323, HS-grad,9,5645.1427275315,0,Never-married,other, Not-in-family, White, Female,0,1762,40, United-States,0
131,38,self_employed,120985, HS-grad,9,6417.7820915356,0,Married-civilian,repair, Husband, White, Male,4386,0,35, United-States,0
132,46,private,146195, Assoc-acdm,12,7656.2718199566,0,Divorced,support, Not-in-family, Black, Female,0,0,36, United-States,0
133,38,national,125933, Masters,14,6899.0990603343,0,Married-civilian,specialty, Husband, White, Male,0,0,40, Iran,1
134,43,self_employed,56920, HS-grad,9,6776.8691359088,0,Married-civilian,repair, Husband, White, Male,0,0,60, United-States,0
135,27,private,163127, Assoc-voc,11,7642.8105300292,0,Married-civilian,clerical, Wife, White, Female,0,0,35, United-States,0
136,20,private,34310, Some-college,10,5298.5988883302,0,Never-married,sales, Own-child, White, Male,0,0,20, United-States,0
137,49,private,81973, Some-college,10,5233.2789255306,0,Married-civilian,repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,1
138,61,self_employed,66614, HS-grad,9,5625.2626217902,0,Married-civilian,repair, Husband, White, Male,0,0,40, United-States,0
139,27,private,232782, Some-college,10,5826.8692176789,0,Never-married,sales, Own-child, White, Female,0,0,40, United-States,0
140,19,private,316868, Some-college,10,8881.3658934087,0,Never-married,other, Own-child, White, Male,0,0,30, Mexico,0
141,45,private,196584, Assoc-voc,11,7399.5378427208,0,Never-married,specialty, Not-in-family, White, Female,0,1564,40, United-States,1
142,70,private,105376, Some-college,10,6633.9469859377,0,Never-married,support, Other-relative, White, Male,0,0,40, United-States,0
143,31,private,185814, HS-grad,9,8501.2966692448,1,Never-married,transport, Unmarried, Black, Female,0,0,30, United-States,0
144,22,private,175374, Some-college,10,8917.2641281039,0,Married-civilian,other, Husband, White, Male,0,0,24, United-States,0
145,36,private,108293, HS-grad,9,7405.7818204165,0,Widowed,other, Unmarried, White, Female,0,0,24, United-States,0
146,64,private,181232, 11th,7,7930.5799994618,0,Married-civilian,repair, Husband, White, Male,0,2179,40, United-States,0
147,43,NA,174662, Some-college,10,6594.7998147458,0,Divorced,NA, Not-in-family, White, Female,0,0,40, United-States,0
148,47,local_body,186009, Some-college,10,6580.147867091,0,Divorced,clerical, Unmarried, White, Female,0,0,38, Mexico,0
149,34,private,198183, HS-grad,9,6732.9837316647,0,Never-married,clerical, Not-in-family, White, Female,0,0,40, United-States,0
150,33,private,163003, Bachelors,13,7286.9292618707,0,Never-married,managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,0
151,21,private,296158, HS-grad,9,8348.9293064922,0,Never-married,repair, Own-child, White, Male,0,0,35, United-States,0
152,52,NA,252903, HS-grad,9,5130.7376185432,0,Divorced,NA, Not-in-family, White, Male,0,0,45, United-States,1
153,48,private,187715, HS-grad,9,5817.9516224191,0,Married-civilian,repair, Husband, White, Male,0,0,46, United-States,0
154,23,private,214542, Bachelors,13,5347.9846185073,0,Never-married,cleaner, Not-in-family, White, Male,0,0,40, United-States,0
155,29,private,191535, HS-grad,9,8331.9625509903,1,Divorced,repair, Not-in-family, White, Male,0,0,60, United-States,0
156,42,private,228456, Bachelors,13,6475.6819941104,0,Separated,other, Other-relative, Black, Male,0,0,50, United-States,0
157,68,NA,38317, 1st-4th,2,5774.264828302,0,Divorced,NA, Not-in-family, White, Female,0,0,20, United-States,0
158,25,private,252752, HS-grad,9,5619.1297210753,0,Never-married,other, Unmarried, White, Female,0,0,40, United-States,0
159,44,self_employed,78374, Masters,14,6047.8846775368,0,Divorced,managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,0
160,28,private,88419, HS-grad,9,7658.689532429,0,Never-married,managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,0
161,45,self_employed,201080, Masters,14,7241.5536679328,0,Married-civilian,sales, Husband, White, Male,0,0,40, United-States,1
162,36,private,207157, Some-college,10,5999.5375359431,0,Divorced,other, Unmarried, White, Female,0,0,40, Mexico,0
163,39,national,235485, Assoc-acdm,12,8470.7488175482,0,Never-married,managerial, Not-in-family, White, Male,0,0,42, United-States,0
164,46,state,102628, Masters,14,6059.6291106194,0,Widowed,guard, Unmarried, White, Male,0,0,40, United-States,0
165,18,private,25828, 11th,7,7348.5527737066,0,Never-married,cleaner, Own-child, White, Male,0,0,16, United-States,0
166,66,local_body,54826, Assoc-voc,11,5705.7326389477,0,Widowed,specialty, Not-in-family, White, Female,0,0,20, United-States,0
167,27,private,124953, HS-grad,9,8571.7837307602,1,Never-married,other, Not-in-family, White, Male,0,1980,40, United-States,0
168,28,state,175325, HS-grad,9,7401.9758263603,0,Married-civilian,guard, Husband, White, Male,0,0,40, United-States,0
169,51,private,96062, Some-college,10,8257.6871495694,0,Married-civilian,sales, Husband, White, Male,0,1977,40, United-States,1
170,27,private,428030, Bachelors,13,5060.241269879,0,Never-married,repair, Not-in-family, White, Male,0,0,50, United-States,0
171,28,state,149624, Bachelors,13,6528.3014401794,0,Married-civilian,specialty, Husband, White, Male,0,0,40, United-States,1
172,21,private,312956, HS-grad,9,8811.0696412623,0,Never-married,repair, Own-child, Black, Male,0,0,40, United-States,0
173,34,private,483777, HS-grad,9,6331.9255234674,0,Never-married,cleaner, Not-in-family, Black, Male,0,0,40, United-States,0
174,18,private,183930, HS-grad,9,6055.8797586709,0,Never-married,other, Own-child, White, Male,0,0,12, United-States,0
175,33,private,37274, Bachelors,13,5286.6955306381,0,Married-civilian,specialty, Husband, White, Male,0,0,65, United-States,0
176,44,local_body,181344, Some-college,10,8875.4414524883,0,Married-civilian,managerial, Husband, Black, Male,0,0,38, United-States,1
177,43,private,114580, Some-college,10,7635.7541820034,0,Divorced,clerical, Not-in-family, White, Female,0,0,40, United-States,0
178,30,private,633742, Some-college,10,7189.0460494906,0,Never-married,repair, Not-in-family, Black, Male,0,0,45, United-States,0
179,37,national,29054, Some-college,10,6917.695925571,0,Married-civilian,clerical, Husband, White, Male,0,0,42, United-States,1
180,34,private,304030, HS-grad,9,6804.9313342199,0,Married-civilian,clerical, Husband, Black, Male,0,0,40, United-States,0
181,41,self_employed,143129, Bachelors,13,5297.1172947437,0,Divorced,managerial, Not-in-family, White, Female,0,0,40, United-States,0
182,53,NA,135105, Bachelors,13,5062.5383704901,0,Divorced,NA, Not-in-family, White, Female,0,0,50, United-States,0
183,58,state,109567, Doctorate,16,5367.3049733043,0,Married-civilian,specialty, Husband, White, Male,0,0,1, United-States,1
184,38,private,155222, Some-college,10,7643.0337885395,0,Divorced,inspector, Not-in-family, Black, Female,0,0,28, United-States,0
185,24,private,159567, Some-college,10,6566.0039521754,0,Married-civilian,inspector, Husband, White, Male,0,0,40, United-States,0
186,41,local_body,523910, Bachelors,13,8824.2851020768,0,Married-civilian,repair, Husband, Black, Male,0,0,40, United-States,0
187,47,private,120939, Some-college,10,8032.8407865018,0,Married-civilian,support, Husband, White, Male,0,0,45, United-States,0
188,41,national,130760, Bachelors,13,7360.0775767118,0,Married-civilian,support, Husband, White, Male,0,0,24, United-States,0
189,23,private,197387, 5th-6th,3,5019.6926193312,0,Married-civilian,transport, Other-relative, White, Male,0,0,40, Mexico,0
190,36,private,99374, Some-college,10,8651.9973482937,0,Divorced,repair, Not-in-family, White, Male,0,0,40, United-States,0
191,40,national,56795, Masters,14,8631.8565132096,0,Never-married,managerial, Not-in-family, White, Female,14084,0,55, United-States,1
192,35,private,138992, Masters,14,6381.7056510598,0,Married-civilian,specialty, Other-relative, White, Male,7298,0,40, United-States,1
193,24,self_employed,32921, HS-grad,9,7497.9200735688,1,Never-married,sales, Not-in-family, White, Male,0,0,40, United-States,0
194,26,private,397317, Masters,14,NA,0,Never-married,specialty, Not-in-family, White, Female,0,1876,40, United-States,0
195,19,NA,170653, HS-grad,9,NA,0,Never-married,NA, Own-child, White, Male,0,0,40, Italy,0
196,51,private,259323, Bachelors,13,NA,0,Married-civilian,managerial, Husband, White, Male,0,0,50, United-States,1
197,42,local_body,254817, Some-college,10,NA,0,Never-married,specialty, Not-in-family, White, Female,0,1340,40, United-States,0
198,37,state,48211, HS-grad,9,NA,0,Divorced,clerical, Unmarried, White, Female,0,0,35, United-States,0
199,18,private,140164, 11th,7,NA,0,Never-married,sales, Own-child, White, Female,0,0,40, United-States,0
200,36,private,128757, Bachelors,13,NA,0,Married-civilian,other, Husband, Black, Male,7298,0,36, United-States,1
201,35,private,36270, HS-grad,9,NA,0,Divorced,repair, Not-in-family, White, Male,0,0,60, United-States,0
202,58,self_employed,210563, HS-grad,9,NA,0,Married-civilian,sales, Wife, White, Female,15024,0,35, United-States,1
203,17,private,65368, 11th,7,NA,0,Never-married,sales, Own-child, White, Female,0,0,12, United-States,0
204,44,local_body,160943, HS-grad,9,NA,0,Married-civilian,transport, Husband, Black, Male,0,0,40, United-States,0
205,37,private,208358, HS-grad,9,NA,0,Married-civilian,repair, Husband, White, Male,0,0,40, United-States,1
206,35,private,153790, Some-college,10,NA,0,Never-married,sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
207,60,private,85815, HS-grad,9,NA,0,Married-civilian,repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0
208,54,self_employed,125417, 7th-8th,4,NA,0,Married-civilian,inspector, Husband, White, Male,0,0,40, United-States,1
209,37,private,635913, Bachelors,13,NA,0,Never-married,managerial, Not-in-family, Black, Male,0,0,60, United-States,1
210,50,private,313321, Assoc-acdm,12,NA,0,Divorced,sales, Not-in-family, White, Female,0,0,40, United-States,0
211,38,private,182609, Bachelors,13,NA,0,Married-civilian,sales, Husband, White, Male,0,0,50, Poland,0
212,45,private,109434, Bachelors,13,NA,0,Married-civilian,specialty, Husband, White, Male,0,0,55, United-States,0
213,25,private,255004, 10th,6,NA,0,Never-married,repair, Not-in-family, White, Male,0,0,40, United-States,0
214,31,private,197860, Some-college,10,NA,0,Married-civilian,cleaner, Husband, White, Male,0,0,40, United-States,0
215,64,NA,187656, 1st-4th,2,NA,0,Divorced,NA, Not-in-family, White, Male,0,0,40, United-States,0
216,90,private,51744, HS-grad,9,NA,0,Never-married,other, Not-in-family, Black, Male,0,2206,40, United-States,0
217,54,private,176681, HS-grad,9,NA,0,Married-civilian,clerical, Husband, Black, Male,0,0,20, United-States,0
218,53,local_body,140359, Preschool,1,NA,0,Never-married,inspector, Not-in-family, White, Female,0,0,35, United-States,0
219,18,private,243313, HS-grad,9,NA,0,Never-married,sales, Own-child, White, Female,0,0,40, United-States,0
220,60,NA,24215, 10th,6,NA,0,Divorced,NA, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States,0
221,66,self_employed,167687, HS-grad,9,NA,0,Married-civilian,farming, Husband, White, Male,1409,0,50, United-States,0
222,75,private,314209, Assoc-voc,11,NA,0,Widowed,clerical, Not-in-family, White, Female,0,0,20, Columbia,0
223,65,private,176796, HS-grad,9,NA,0,Divorced,clerical, Not-in-family, White, Female,0,0,40, United-States,0
224,35,private,538583, 11th,7,NA,0,Separated,transport, Not-in-family, Black, Male,3674,0,40, United-States,0
225,41,private,130408, HS-grad,9,NA,0,Divorced,sales, Unmarried, Black, Female,0,0,38, United-States,0
226,25,private,159732, Some-college,10,NA,0,Never-married,clerical, Not-in-family, White, Male,0,0,42, United-States,0
227,33,private,110978, Some-college,10,NA,0,Divorced,repair, Other-relative, Other, Female,0,0,40, United-States,0
228,28,private,76714, Prof-school,15,NA,1,Never-married,specialty, Not-in-family, White, Male,0,0,55, United-States,1
229,59,state,268700, HS-grad,9,NA,0,Married-civilian,other, Husband, White, Male,0,0,40, United-States,0
230,40,state,170525, Some-college,10,NA,0,Never-married,clerical, Not-in-family, White, Female,0,0,38, United-States,0
231,41,private,180138, Bachelors,13,NA,0,Married-civilian,managerial, Husband, White, Male,0,0,50, Iran,1
232,38,local_body,115076, Masters,14,NA,0,Married-civilian,managerial, Husband, White, Male,0,0,70, United-States,1
233,23,private,115458, HS-grad,9,NA,0,Never-married,transport, Own-child, White, Male,0,0,40, United-States,0
234,40,private,347890, Bachelors,13,NA,0,Married-civilian,specialty, Husband, White, Male,0,0,40, United-States,1
235,41,self_employed,196001, HS-grad,9,NA,0,Married-civilian,other, Wife, White, Female,0,0,20, United-States,0
236,24,state,273905, Assoc-acdm,12,NA,0,Married-civilian,guard, Husband, White, Male,0,0,50, United-States,0
237,20,NA,119156, Some-college,10,NA,0,Never-married,NA, Own-child, White, Male,0,0,20, United-States,0
238,38,private,179488, Some-college,10,NA,0,Divorced,repair, Not-in-family, White, Male,0,1741,40, United-States,0
239,56,private,203580, HS-grad,9,NA,0,Married-civilian,clerical, Husband, White, Male,0,0,35,NA,0
240,58,private,236596, HS-grad,9,7361.3050403073,0,Married-civilian,clerical, Husband, White, Male,0,0,45, United-States,1
