"","age","working_sector","financial_weight","qualification","years_of_education","tax_paid","loan_taken","marital_status","occupation","relationship","ethnicity","gender","gain","loss","working_hours","country","target"
"107",31,"Gov",189265," HS-grad",9,6572.8748226538,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"108",42,"Employed",124692," HS-grad",9,6194.7549208999,"0","Married","cleaner"," Husband"," White"," Male",0,0,40," United-States","0"
"109",24,"Employed",432376," Bachelors",13,6774.403787218,"0","Un_married","sales"," Other-relative"," White"," Male",0,0,40," United-States","0"
"110",38,"Employed",65324," Prof-school",15,6918.9423713833,"0","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","1"
"111",56,"Employed",335605," HS-grad",9,8254.5279217884,"0","Married","other"," Husband"," White"," Male",0,1887,50," Canada","1"
"112",28,"Employed",377869," Some-college",10,5510.1987542585,"0","Married","sales"," Wife"," White"," Female",4064,0,25," United-States","0"
"113",36,"Employed",102864," HS-grad",9,6197.1738571301,"0","Un_married","inspector"," Own-child"," White"," Female",0,0,40," United-States","0"
"114",53,"Employed",95647," 9th",5,5004.099923186,"0","Married","cleaner"," Husband"," White"," Male",0,0,50," United-States","0"
"115",56,"Employed",303090," Some-college",10,8152.6950374246,"0","Married","sales"," Husband"," White"," Male",0,0,50," United-States","0"
"116",49,"Gov",197371," Assoc-voc",11,8798.1326309964,"0","Married","repair"," Husband"," Black"," Male",0,0,40," United-States","1"
"117",55,"Employed",247552," Some-college",10,5380.7041374967,"0","Married","sales"," Husband"," White"," Male",0,0,56," United-States","0"
"118",22,"Employed",102632," HS-grad",9,8462.5887349248,"0","Un_married","repair"," Not-in-family"," White"," Male",0,0,41," United-States","0"
"119",21,"Employed",199915," Some-college",10,7286.9078014046,"0","Un_married","other"," Own-child"," White"," Female",0,0,40," United-States","0"
"120",40,"Employed",118853," Bachelors",13,8562.0911177248,"0","Married","managerial"," Husband"," White"," Male",0,0,60," United-States","0"
"121",30,"Employed",77143," Bachelors",13,6837.9137376323,"0","Un_married","managerial"," Own-child"," Black"," Male",0,0,40," Germany","0"
"122",29,"Gov",267989," Bachelors",13,7315.5669877306,"0","Married","specialty"," Husband"," White"," Male",0,0,50," United-States","1"
"123",19,"Employed",301606," Some-college",10,6999.7530318797,"0","Un_married","other"," Own-child"," Black"," Male",0,0,35," United-States","0"
"124",47,"Employed",287828," Bachelors",13,7135.5620110408,"0","Married","managerial"," Wife"," White"," Female",0,0,40," United-States","1"
"125",20,"Employed",111697," Some-college",10,7988.5700447485,"0","Un_married","clerical"," Own-child"," White"," Female",0,1719,28," United-States","0"
"126",31,"Employed",114937," Assoc-acdm",12,6664.2013918608,"0","Married","clerical"," Husband"," White"," Male",0,0,40," United-States","1"
"128",39,"Employed",365739," Some-college",10,7212.443719618,"0","Un_married","repair"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"129",28,"Employed",69621," Assoc-acdm",12,5619.1500332207,"0","Un_married","sales"," Not-in-family"," White"," Female",0,0,60," United-States","0"
"130",24,"Employed",43323," HS-grad",9,5645.1427275315,"0","Un_married","other"," Not-in-family"," White"," Female",0,1762,40," United-States","0"
"131",38,"Employed",120985," HS-grad",9,6417.7820915356,"0","Married","repair"," Husband"," White"," Male",4386,0,35," United-States","0"
"132",46,"Employed",146195," Assoc-acdm",12,7656.2718199566,"0","Un_married","support"," Not-in-family"," Black"," Female",0,0,36," United-States","0"
"133",38,"Gov",125933," Masters",14,6899.0990603343,"0","Married","specialty"," Husband"," White"," Male",0,0,40," Iran","1"
"134",43,"Employed",56920," HS-grad",9,6776.8691359088,"0","Married","repair"," Husband"," White"," Male",0,0,60," United-States","0"
"135",27,"Employed",163127," Assoc-voc",11,7642.8105300292,"0","Married","clerical"," Wife"," White"," Female",0,0,35," United-States","0"
"136",20,"Employed",34310," Some-college",10,5298.5988883302,"0","Un_married","sales"," Own-child"," White"," Male",0,0,20," United-States","0"
"137",49,"Employed",81973," Some-college",10,5233.2789255306,"0","Married","repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States","1"
"138",61,"Employed",66614," HS-grad",9,5625.2626217902,"0","Married","repair"," Husband"," White"," Male",0,0,40," United-States","0"
"139",27,"Employed",232782," Some-college",10,5826.8692176789,"0","Un_married","sales"," Own-child"," White"," Female",0,0,40," United-States","0"
"140",19,"Employed",316868," Some-college",10,8881.3658934087,"0","Un_married","other"," Own-child"," White"," Male",0,0,30," Mexico","0"
"141",45,"Employed",196584," Assoc-voc",11,7399.5378427208,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,1564,40," United-States","1"
"142",70,"Employed",105376," Some-college",10,6633.9469859377,"0","Un_married","support"," Other-relative"," White"," Male",0,0,40," United-States","0"
"143",31,"Employed",185814," HS-grad",9,8501.2966692448,"1","Un_married","transport"," Unmarried"," Black"," Female",0,0,30," United-States","0"
"144",22,"Employed",175374," Some-college",10,8917.2641281039,"0","Married","other"," Husband"," White"," Male",0,0,24," United-States","0"
"145",36,"Employed",108293," HS-grad",9,7405.7818204165,"0","Un_married","other"," Unmarried"," White"," Female",0,0,24," United-States","0"
"146",64,"Employed",181232," 11th",7,7930.5799994618,"0","Married","repair"," Husband"," White"," Male",0,2179,40," United-States","0"
"148",47,"Gov",186009," Some-college",10,6580.147867091,"0","Un_married","clerical"," Unmarried"," White"," Female",0,0,38," Mexico","0"
"149",34,"Employed",198183," HS-grad",9,6732.9837316647,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"150",33,"Employed",163003," Bachelors",13,7286.9292618707,"0","Un_married","managerial"," Other-relative"," Asian-Pac-Islander"," Female",0,0,40," Philippines","0"
"151",21,"Employed",296158," HS-grad",9,8348.9293064922,"0","Un_married","repair"," Own-child"," White"," Male",0,0,35," United-States","0"
"153",48,"Employed",187715," HS-grad",9,5817.9516224191,"0","Married","repair"," Husband"," White"," Male",0,0,46," United-States","0"
"154",23,"Employed",214542," Bachelors",13,5347.9846185073,"0","Un_married","cleaner"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"155",29,"Employed",191535," HS-grad",9,8331.9625509903,"1","Un_married","repair"," Not-in-family"," White"," Male",0,0,60," United-States","0"
"156",42,"Employed",228456," Bachelors",13,6475.6819941104,"0","Un_married","other"," Other-relative"," Black"," Male",0,0,50," United-States","0"
"158",25,"Employed",252752," HS-grad",9,5619.1297210753,"0","Un_married","other"," Unmarried"," White"," Female",0,0,40," United-States","0"
"159",44,"Employed",78374," Masters",14,6047.8846775368,"0","Un_married","managerial"," Unmarried"," Asian-Pac-Islander"," Female",0,0,40," United-States","0"
"160",28,"Employed",88419," HS-grad",9,7658.689532429,"0","Un_married","managerial"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,40," England","0"
"161",45,"Employed",201080," Masters",14,7241.5536679328,"0","Married","sales"," Husband"," White"," Male",0,0,40," United-States","1"
"162",36,"Employed",207157," Some-college",10,5999.5375359431,"0","Un_married","other"," Unmarried"," White"," Female",0,0,40," Mexico","0"
"163",39,"Gov",235485," Assoc-acdm",12,8470.7488175482,"0","Un_married","managerial"," Not-in-family"," White"," Male",0,0,42," United-States","0"
"164",46,"Gov",102628," Masters",14,6059.6291106194,"0","Un_married","guard"," Unmarried"," White"," Male",0,0,40," United-States","0"
"165",18,"Employed",25828," 11th",7,7348.5527737066,"0","Un_married","cleaner"," Own-child"," White"," Male",0,0,16," United-States","0"
"166",66,"Gov",54826," Assoc-voc",11,5705.7326389477,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,20," United-States","0"
"167",27,"Employed",124953," HS-grad",9,8571.7837307602,"1","Un_married","other"," Not-in-family"," White"," Male",0,1980,40," United-States","0"
"168",28,"Gov",175325," HS-grad",9,7401.9758263603,"0","Married","guard"," Husband"," White"," Male",0,0,40," United-States","0"
"169",51,"Employed",96062," Some-college",10,8257.6871495694,"0","Married","sales"," Husband"," White"," Male",0,1977,40," United-States","1"
"170",27,"Employed",428030," Bachelors",13,5060.241269879,"0","Un_married","repair"," Not-in-family"," White"," Male",0,0,50," United-States","0"
"171",28,"Gov",149624," Bachelors",13,6528.3014401794,"0","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","1"
"172",21,"Employed",312956," HS-grad",9,8811.0696412623,"0","Un_married","repair"," Own-child"," Black"," Male",0,0,40," United-States","0"
"173",34,"Employed",483777," HS-grad",9,6331.9255234674,"0","Un_married","cleaner"," Not-in-family"," Black"," Male",0,0,40," United-States","0"
"174",18,"Employed",183930," HS-grad",9,6055.8797586709,"0","Un_married","other"," Own-child"," White"," Male",0,0,12," United-States","0"
"175",33,"Employed",37274," Bachelors",13,5286.6955306381,"0","Married","specialty"," Husband"," White"," Male",0,0,65," United-States","0"
"176",44,"Gov",181344," Some-college",10,8875.4414524883,"0","Married","managerial"," Husband"," Black"," Male",0,0,38," United-States","1"
"177",43,"Employed",114580," Some-college",10,7635.7541820034,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"178",30,"Employed",633742," Some-college",10,7189.0460494906,"0","Un_married","repair"," Not-in-family"," Black"," Male",0,0,45," United-States","0"
"179",37,"Gov",29054," Some-college",10,6917.695925571,"0","Married","clerical"," Husband"," White"," Male",0,0,42," United-States","1"
"180",34,"Employed",304030," HS-grad",9,6804.9313342199,"0","Married","clerical"," Husband"," Black"," Male",0,0,40," United-States","0"
"181",41,"Employed",143129," Bachelors",13,5297.1172947437,"0","Un_married","managerial"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"183",58,"Gov",109567," Doctorate",16,5367.3049733043,"0","Married","specialty"," Husband"," White"," Male",0,0,1," United-States","1"
"184",38,"Employed",155222," Some-college",10,7643.0337885395,"0","Un_married","inspector"," Not-in-family"," Black"," Female",0,0,28," United-States","0"
"185",24,"Employed",159567," Some-college",10,6566.0039521754,"0","Married","inspector"," Husband"," White"," Male",0,0,40," United-States","0"
"186",41,"Gov",523910," Bachelors",13,8824.2851020768,"0","Married","repair"," Husband"," Black"," Male",0,0,40," United-States","0"
"187",47,"Employed",120939," Some-college",10,8032.8407865018,"0","Married","support"," Husband"," White"," Male",0,0,45," United-States","0"
"188",41,"Gov",130760," Bachelors",13,7360.0775767118,"0","Married","support"," Husband"," White"," Male",0,0,24," United-States","0"
"189",23,"Employed",197387," 5th-6th",3,5019.6926193312,"0","Married","transport"," Other-relative"," White"," Male",0,0,40," Mexico","0"
"190",36,"Employed",99374," Some-college",10,8651.9973482937,"0","Un_married","repair"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"191",40,"Gov",56795," Masters",14,8631.8565132096,"0","Un_married","managerial"," Not-in-family"," White"," Female",14084,0,55," United-States","1"
"192",35,"Employed",138992," Masters",14,6381.7056510598,"0","Married","specialty"," Other-relative"," White"," Male",7298,0,40," United-States","1"
"193",24,"Employed",32921," HS-grad",9,7497.9200735688,"1","Un_married","sales"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"240",58,"Employed",236596," HS-grad",9,7361.3050403073,"0","Married","clerical"," Husband"," White"," Male",0,0,45," United-States","1"
"241",32,"Employed",183916," HS-grad",9,7409.8876751959,"0","Un_married","other"," Not-in-family"," White"," Female",0,0,34," United-States","0"
"242",40,"Employed",207578," Assoc-acdm",12,8939.4208099693,"0","Married","support"," Husband"," White"," Male",0,1977,60," United-States","1"
"244",41,"Employed",112763," Prof-school",15,7942.4928221852,"0","Married","specialty"," Wife"," White"," Female",0,0,40," United-States","1"
"245",42,"Employed",390781," Bachelors",13,7398.88290409,"0","Married","clerical"," Wife"," Black"," Female",0,0,40," United-States","0"
"246",59,"Gov",171328," 10th",6,7910.1844327524,"0","Un_married","other"," Unmarried"," Black"," Female",0,0,30," United-States","0"
"247",19,"Gov",27382," Some-college",10,5585.4894081131,"0","Un_married","clerical"," Own-child"," White"," Male",0,0,40," United-States","0"
"248",58,"Employed",259014," Some-college",10,6455.1280653104,"0","Un_married","transport"," Not-in-family"," White"," Male",0,0,20," United-States","0"
"249",42,"Employed",303044," HS-grad",9,5499.7934205458,"0","Married","farming"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Cambodia","1"
"250",20,"Employed",117789," HS-grad",9,7428.6902518943,"0","Un_married","other"," Own-child"," White"," Female",0,0,40," United-States","0"
"251",32,"Employed",172579," HS-grad",9,7447.813089937,"0","Un_married","other"," Not-in-family"," White"," Female",0,0,30," United-States","0"
"252",45,"Employed",187666," Assoc-voc",11,5969.9886702001,"0","Un_married","managerial"," Not-in-family"," White"," Female",0,0,45," United-States","0"
"253",50,"Employed",204518," 7th-8th",4,8392.8939811885,"0","Un_married","repair"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"254",36,"Employed",150042," Bachelors",13,6452.9545772821,"0","Un_married","specialty"," Own-child"," White"," Female",0,0,40," United-States","0"
"255",45,"Employed",98092," HS-grad",9,6546.8741441146,"0","Married","sales"," Husband"," White"," Male",0,0,60," United-States","0"
"256",17,"Employed",245918," 11th",7,7597.2445253283,"0","Un_married","other"," Own-child"," White"," Male",0,0,12," United-States","0"
"257",59,"Employed",146013," Some-college",10,8885.6358341873,"0","Married","sales"," Husband"," White"," Male",4064,0,40," United-States","0"
"258",26,"Employed",378322," 11th",7,6276.082332246,"0","Married","repair"," Husband"," White"," Male",0,0,40," United-States","0"
"259",37,"Employed",257295," Some-college",10,8500.7847044617,"0","Married","managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,75," Thailand","1"
"261",64,"Employed",21174," HS-grad",9,5640.8733464778,"0","Married","managerial"," Husband"," White"," Male",0,0,40," United-States","1"
"262",33,"Employed",185480," Bachelors",13,7341.0282703117,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,45," United-States","0"
"263",33,"Employed",222205," HS-grad",9,6824.3267610669,"0","Married","repair"," Wife"," White"," Female",0,0,40," United-States","1"
"264",61,"Employed",69867," HS-grad",9,8209.9005393684,"0","Married","managerial"," Husband"," White"," Male",0,0,40," United-States","1"
"265",17,"Employed",191260," 9th",5,7661.0955083743,"0","Un_married","other"," Own-child"," White"," Male",1055,0,24," United-States","0"
"266",50,"Employed",30653," Masters",14,8716.8473172933,"0","Married","farming"," Husband"," White"," Male",2407,0,98," United-States","0"
"267",27,"Gov",209109," Masters",14,7914.9666568264,"0","Un_married","specialty"," Own-child"," White"," Male",0,0,35," United-States","0"
"268",30,"Employed",70377," HS-grad",9,7635.5722956359,"1","Un_married","specialty"," Own-child"," White"," Female",0,0,40," United-States","0"
"269",43,"Employed",477983," HS-grad",9,6466.7429560795,"0","Married","cleaner"," Husband"," Black"," Male",0,0,40," United-States","0"
"270",44,"Employed",170924," Some-college",10,5121.3344279677,"0","Married","repair"," Husband"," White"," Male",7298,0,40," United-States","1"
"271",35,"Employed",190174," Some-college",10,8700.6647875533,"0","Un_married","managerial"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"272",25,"Employed",193787," Some-college",10,8995.4386660829,"0","Un_married","support"," Own-child"," White"," Female",0,0,40," United-States","0"
"273",24,"Employed",279472," Some-college",10,8426.6299512237,"0","Married","inspector"," Wife"," White"," Female",7298,0,48," United-States","1"
"274",22,"Employed",34918," Bachelors",13,8055.0057627261,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,15," Germany","0"
"275",42,"Gov",97688," Some-college",10,7231.858048588,"0","Married","repair"," Husband"," White"," Male",5178,0,40," United-States","1"
"276",60,"Employed",173960," Bachelors",13,8877.3863380775,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,42," United-States","0"
"277",21,"Employed",205759," HS-grad",9,5449.6626360342,"0","Un_married","cleaner"," Own-child"," White"," Male",0,0,40," United-States","0"
"278",57,"Gov",425161," Masters",14,5514.9525981396,"0","Married","sales"," Husband"," White"," Male",15024,0,40," United-States","1"
"279",41,"Employed",220531," Prof-school",15,7027.3282313719,"1","Married","specialty"," Husband"," White"," Male",0,0,60," United-States","1"
"280",50,"Employed",176609," Some-college",10,5012.6834129915,"0","Un_married","other"," Not-in-family"," White"," Male",0,0,45," United-States","0"
"281",25,"Employed",371987," Bachelors",13,6896.4694943279,"0","Un_married","managerial"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"282",50,"Employed",193884," 7th-8th",4,7915.8288110048,"0","Married","repair"," Husband"," White"," Male",0,0,40," Ecuador","0"
"283",31,"Employed",127595," HS-grad",9,8146.5073116124,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"284",29,"Gov",220419," Bachelors",13,8232.9358132556,"1","Un_married","guard"," Not-in-family"," White"," Male",0,0,56," United-States","0"
"285",21,"Employed",231931," Some-college",10,8739.8400940001,"0","Un_married","sales"," Own-child"," White"," Male",0,0,45," United-States","0"
"286",27,"Employed",248402," Bachelors",13,6561.7009038106,"0","Un_married","support"," Unmarried"," Black"," Female",0,0,40," United-States","0"
"287",65,"Employed",111095," HS-grad",9,5630.4969647899,"0","Married","transport"," Husband"," White"," Male",0,0,16," United-States","0"
"288",37,"Employed",57424," Bachelors",13,5891.6167886928,"0","Un_married","sales"," Not-in-family"," White"," Female",0,0,60," United-States","0"
"290",24,"Employed",278130," HS-grad",9,7913.0292413756,"0","Un_married","repair"," Own-child"," White"," Male",0,0,40," United-States","0"
"291",38,"Employed",169469," HS-grad",9,8346.0819274187,"0","Un_married","sales"," Not-in-family"," White"," Male",0,0,80," United-States","0"
"292",48,"Employed",146268," Bachelors",13,7595.2533110976,"0","Married","clerical"," Husband"," White"," Male",7688,0,40," United-States","1"
"293",21,"Employed",153718," Some-college",10,8648.0931928381,"0","Un_married","other"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,25," United-States","0"
"294",31,"Employed",217460," HS-grad",9,7421.2558744475,"0","Married","transport"," Husband"," White"," Male",0,0,45," United-States","1"
"295",55,"Employed",238638," HS-grad",9,8944.1459653899,"0","Married","sales"," Husband"," White"," Male",4386,0,40," United-States","1"
"296",24,"Employed",303296," Some-college",10,6919.572038576,"0","Married","clerical"," Wife"," Asian-Pac-Islander"," Female",0,0,40," Laos","0"
"297",43,"Employed",173321," HS-grad",9,6088.4725386277,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"298",26,"Employed",193945," Assoc-acdm",12,7506.8794628605,"0","Un_married","support"," Not-in-family"," White"," Male",0,0,45," United-States","0"
"362",40,"Gov",184018," Assoc-voc",11,4003.2710805535,"1","Married","inspector"," Husband"," White"," Male",0,0,38," United-States","1"
"370",54,"Employed",174319," HS-grad",9,4896.3266946375,"1","Un_married","transport"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"375",23,"Employed",396099," HS-grad",9,2891.9390775263,"1","Un_married","other"," Not-in-family"," White"," Female",0,0,25," United-States","0"
"376",29,"Employed",134152," HS-grad",9,5842.0012164861,"1","Un_married","inspector"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"378",19,"Employed",25429," Some-college",10,2725.3922335804,"1","Un_married","clerical"," Own-child"," White"," Female",0,0,16," United-States","0"
"435",44,"Employed",290521," HS-grad",9,6488.7499026954,"1","Un_married","managerial"," Unmarried"," Black"," Female",0,0,40," United-States","0"
"445",30,"Employed",180374," HS-grad",9,8082.6003598049,"0","Married","managerial"," Wife"," White"," Female",0,0,40," United-States","0"
"446",38,"Employed",351299," Some-college",10,5530.0952838734,"0","Married","transport"," Husband"," Black"," Male",0,0,50," United-States","0"
"447",23,"Employed",54012," HS-grad",9,6538.9295313507,"0","Married","transport"," Husband"," White"," Male",0,0,60," United-States","0"
"449",44,"Employed",116632," Assoc-acdm",12,5480.8475645259,"0","Un_married","farming"," Own-child"," White"," Male",0,0,40," United-States","0"
"450",54,"Gov",288825," HS-grad",9,8816.0290149972,"0","Married","transport"," Husband"," Black"," Male",0,0,40," United-States","0"
"451",32,"Employed",132601," Bachelors",13,5039.7001514211,"0","Married","specialty"," Husband"," White"," Male",0,0,50," United-States","0"
"452",50,"Employed",193374," 1st-4th",2,5414.7246042267,"0","Married","repair"," Unmarried"," White"," Male",0,0,40," United-States","0"
"453",24,"Employed",170070," Bachelors",13,7009.6030775458,"0","Un_married","support"," Not-in-family"," White"," Female",0,0,20," United-States","0"
"454",52,"Employed",35598," HS-grad",9,7621.8488765881,"0","Un_married","transport"," Unmarried"," White"," Male",0,0,40," United-States","0"
"455",38,"Employed",33983," Some-college",10,7967.5203124061,"0","Married","transport"," Husband"," White"," Male",0,0,40," United-States","0"
"456",49,"Employed",192776," Masters",14,8658.3432173356,"0","Married","managerial"," Husband"," White"," Male",0,1977,45," United-States","1"
"457",30,"Employed",118551," Bachelors",13,6243.3827575296,"0","Married","support"," Wife"," White"," Female",0,0,16," United-States","1"
