"ClaimID","ClaimSize"
"CLM52255","100K-lessthan200K"
"CLM52256","200KandAbove"
"CLM52257","lessthan100K"
"CLM52258","lessthan100K"
"CLM52266","lessthan100K"
"CLM52269","lessthan100K"
"CLM52270","lessthan100K"
"CLM52278","200KandAbove"
"CLM52279","lessthan100K"
"CLM52280","lessthan100K"
"CLM52284","200KandAbove"
"CLM52290","lessthan100K"
"CLM52294","lessthan100K"
"CLM52299","lessthan100K"
"CLM52300","lessthan100K"
"CLM52303","100K-lessthan200K"
"CLM52306","lessthan100K"
"CLM52307","lessthan100K"
"CLM52308","lessthan100K"
"CLM52311","200KandAbove"
"CLM52320","lessthan100K"
"CLM52326","100K-lessthan200K"
"CLM52327","100K-lessthan200K"
"CLM52343","lessthan100K"
"CLM52346","lessthan100K"
"CLM52349","lessthan100K"
"CLM52352","lessthan100K"
"CLM52356","lessthan100K"
"CLM52359","lessthan100K"
"CLM52361","lessthan100K"
"CLM52364","lessthan100K"
"CLM52367","lessthan100K"
"CLM52368","lessthan100K"
"CLM52370","lessthan100K"
"CLM52371","lessthan100K"
"CLM52374","lessthan100K"
"CLM52377","100K-lessthan200K"
"CLM52380","lessthan100K"
"CLM52384","lessthan100K"
"CLM52389","lessthan100K"
"CLM52391","200KandAbove"
"CLM52393","lessthan100K"
"CLM52397","lessthan100K"
"CLM52404","lessthan100K"
"CLM52413","100K-lessthan200K"
"CLM52416","100K-lessthan200K"
"CLM52417","lessthan100K"
"CLM52418","100K-lessthan200K"
"CLM52422","200KandAbove"
"CLM52425","lessthan100K"
"CLM52432","lessthan100K"
"CLM52436","lessthan100K"
"CLM52437","lessthan100K"
"CLM52438","lessthan100K"
"CLM52442","lessthan100K"
"CLM52448","200KandAbove"
"CLM52449","lessthan100K"
"CLM52450","100K-lessthan200K"
"CLM52453","100K-lessthan200K"
"CLM52458","200KandAbove"
"CLM52470","lessthan100K"
"CLM52477","lessthan100K"
"CLM52481","200KandAbove"
"CLM52488","lessthan100K"
"CLM52492","lessthan100K"
"CLM52495","lessthan100K"
"CLM52499","lessthan100K"
"CLM52502","lessthan100K"
"CLM52505","lessthan100K"
"CLM52509","200KandAbove"
"CLM52511","lessthan100K"
"CLM52514","lessthan100K"
"CLM52516","100K-lessthan200K"
"CLM52517","lessthan100K"
"CLM52521","lessthan100K"
"CLM52523","lessthan100K"
"CLM52527","lessthan100K"
"CLM52530","lessthan100K"
"CLM52532","lessthan100K"
"CLM52534","100K-lessthan200K"
"CLM52537","200KandAbove"
"CLM52539","lessthan100K"
"CLM52540","lessthan100K"
"CLM52543","100K-lessthan200K"
"CLM52546","lessthan100K"
"CLM52551","lessthan100K"
"CLM52554","200KandAbove"
"CLM52555","lessthan100K"
"CLM52562","lessthan100K"
"CLM52563","lessthan100K"
"CLM52565","lessthan100K"
"CLM52566","lessthan100K"
"CLM52570","lessthan100K"
"CLM52574","lessthan100K"
"CLM52580","lessthan100K"
"CLM52582","200KandAbove"
"CLM52587","lessthan100K"
"CLM52593","lessthan100K"
"CLM52594","lessthan100K"
"CLM52606","lessthan100K"
"CLM52609","200KandAbove"
"CLM52610","lessthan100K"
"CLM52612","lessthan100K"
"CLM52628","100K-lessthan200K"
"CLM52635","lessthan100K"
"CLM52637","lessthan100K"
"CLM52641","lessthan100K"
"CLM52642","100K-lessthan200K"
"CLM52644","lessthan100K"
"CLM52645","200KandAbove"
"CLM52648","lessthan100K"
"CLM52649","lessthan100K"
"CLM52658","100K-lessthan200K"
"CLM52662","lessthan100K"
"CLM52666","lessthan100K"
"CLM52675","lessthan100K"
"CLM52678","200KandAbove"
"CLM52680","lessthan100K"
"CLM52682","100K-lessthan200K"
"CLM52685","lessthan100K"
"CLM52691","100K-lessthan200K"
"CLM52695","lessthan100K"
"CLM52701","lessthan100K"
"CLM52705","lessthan100K"
"CLM52706","100K-lessthan200K"
"CLM52715","lessthan100K"
"CLM52716","lessthan100K"
"CLM52720","200KandAbove"
"CLM52721","lessthan100K"
"CLM52731","lessthan100K"
"CLM52737","lessthan100K"
"CLM52738","lessthan100K"
"CLM52741","lessthan100K"
"CLM52746","lessthan100K"
"CLM52765","lessthan100K"
"CLM52774","lessthan100K"
"CLM52776","lessthan100K"
"CLM52777","lessthan100K"
"CLM52781","lessthan100K"
"CLM52783","100K-lessthan200K"
"CLM52784","lessthan100K"
"CLM52786","lessthan100K"
"CLM52790","lessthan100K"
"CLM52793","lessthan100K"
"CLM52797","lessthan100K"
"CLM52798","200KandAbove"
"CLM52802","lessthan100K"
"CLM52817","lessthan100K"
"CLM52830","lessthan100K"
"CLM52834","lessthan100K"
"CLM52838","lessthan100K"
"CLM52841","200KandAbove"
"CLM52845","lessthan100K"
"CLM52850","200KandAbove"
"CLM52854","lessthan100K"
"CLM52855","200KandAbove"
"CLM52856","200KandAbove"
"CLM52859","lessthan100K"
"CLM52863","lessthan100K"
"CLM52866","lessthan100K"
"CLM52868","lessthan100K"
"CLM52873","lessthan100K"
"CLM52879","lessthan100K"
"CLM52884","100K-lessthan200K"
"CLM52886","100K-lessthan200K"
"CLM52887","lessthan100K"
"CLM52888","100K-lessthan200K"
"CLM52893","lessthan100K"
"CLM52900","lessthan100K"
"CLM52901","lessthan100K"
"CLM52904","lessthan100K"
"CLM52905","200KandAbove"
"CLM52914","lessthan100K"
"CLM52916","100K-lessthan200K"
"CLM52929","200KandAbove"
"CLM52930","lessthan100K"
"CLM52934","lessthan100K"
"CLM52950","100K-lessthan200K"
"CLM52957","lessthan100K"
"CLM52964","lessthan100K"
"CLM52968","lessthan100K"
"CLM52974","200KandAbove"
"CLM52981","lessthan100K"
"CLM52990","200KandAbove"
"CLM52992","lessthan100K"
"CLM52996","100K-lessthan200K"
"CLM53000","lessthan100K"
"CLM53007","100K-lessthan200K"
"CLM53014","lessthan100K"
"CLM53020","100K-lessthan200K"
"CLM53030","200KandAbove"
"CLM53037","lessthan100K"
"CLM53039","lessthan100K"
"CLM53040","lessthan100K"
"CLM53041","200KandAbove"
"CLM53047","lessthan100K"
"CLM53052","200KandAbove"
"CLM53055","lessthan100K"
"CLM53056","lessthan100K"
"CLM53057","200KandAbove"
"CLM53058","lessthan100K"
"CLM53061","lessthan100K"
"CLM53065","lessthan100K"
"CLM53072","lessthan100K"
"CLM53076","200KandAbove"
"CLM53079","200KandAbove"
"CLM53081","lessthan100K"
"CLM53083","200KandAbove"
"CLM53085","lessthan100K"
"CLM53088","lessthan100K"
"CLM53090","lessthan100K"
"CLM53105","200KandAbove"
"CLM53106","200KandAbove"
"CLM53107","200KandAbove"
"CLM53109","lessthan100K"
"CLM53111","200KandAbove"
"CLM53116","lessthan100K"
"CLM53120","lessthan100K"
"CLM53130","lessthan100K"
"CLM53135","lessthan100K"
"CLM53137","200KandAbove"
"CLM53139","lessthan100K"
"CLM53140","lessthan100K"
"CLM53143","lessthan100K"
"CLM53149","lessthan100K"
"CLM53150","100K-lessthan200K"
"CLM53153","lessthan100K"
"CLM53167","100K-lessthan200K"
"CLM53176","lessthan100K"
"CLM53179","lessthan100K"
"CLM53182","lessthan100K"
"CLM53190","lessthan100K"
"CLM53196","lessthan100K"
"CLM53198","lessthan100K"
"CLM53203","100K-lessthan200K"
"CLM53206","100K-lessthan200K"
"CLM53207","100K-lessthan200K"
"CLM53215","100K-lessthan200K"
"CLM53232","lessthan100K"
"CLM53242","lessthan100K"
"CLM53247","200KandAbove"
"CLM53258","lessthan100K"
"CLM53259","100K-lessthan200K"
"CLM53270","100K-lessthan200K"
"CLM53276","lessthan100K"
"CLM53289","100K-lessthan200K"
"CLM53290","200KandAbove"
"CLM53296","lessthan100K"
"CLM53297","lessthan100K"
"CLM53302","lessthan100K"
"CLM53307","200KandAbove"
"CLM53318","lessthan100K"
"CLM53325","lessthan100K"
"CLM53326","200KandAbove"
"CLM53329","lessthan100K"
"CLM53330","lessthan100K"
"CLM53334","lessthan100K"
"CLM53335","lessthan100K"
"CLM53336","lessthan100K"
"CLM53345","lessthan100K"
"CLM53349","lessthan100K"
"CLM53355","lessthan100K"
"CLM53358","lessthan100K"
"CLM53359","lessthan100K"
"CLM53361","lessthan100K"
"CLM53365","200KandAbove"
"CLM53366","lessthan100K"
"CLM53369","200KandAbove"
"CLM53373","lessthan100K"
"CLM53375","lessthan100K"
"CLM53379","lessthan100K"
"CLM53391","lessthan100K"
"CLM53394","100K-lessthan200K"
"CLM53395","100K-lessthan200K"
"CLM53397","100K-lessthan200K"
"CLM53398","lessthan100K"
"CLM53401","200KandAbove"
"CLM53403","lessthan100K"
"CLM53406","lessthan100K"
"CLM53407","100K-lessthan200K"
"CLM53409","lessthan100K"
"CLM53415","lessthan100K"
"CLM53419","lessthan100K"
"CLM53423","lessthan100K"
"CLM53426","lessthan100K"
"CLM53427","lessthan100K"
"CLM53428","lessthan100K"
"CLM53432","lessthan100K"
"CLM53434","lessthan100K"
"CLM53435","100K-lessthan200K"
"CLM53447","lessthan100K"
"CLM53448","lessthan100K"
"CLM53451","200KandAbove"
"CLM53454","lessthan100K"
"CLM53460","lessthan100K"
"CLM53463","lessthan100K"
"CLM53468","lessthan100K"
"CLM53472","lessthan100K"
"CLM53477","lessthan100K"
"CLM53485","100K-lessthan200K"
"CLM53487","100K-lessthan200K"
"CLM53490","lessthan100K"
"CLM53491","lessthan100K"
"CLM53492","lessthan100K"
"CLM53498","100K-lessthan200K"
"CLM53503","lessthan100K"
"CLM53504","lessthan100K"
"CLM53506","lessthan100K"
"CLM53509","lessthan100K"
"CLM53510","200KandAbove"
"CLM53514","200KandAbove"
"CLM53517","100K-lessthan200K"
"CLM53519","lessthan100K"
"CLM53529","200KandAbove"
"CLM53534","lessthan100K"
"CLM53542","100K-lessthan200K"
"CLM53543","lessthan100K"
"CLM53545","100K-lessthan200K"
"CLM53547","lessthan100K"
"CLM53553","lessthan100K"
"CLM53561","lessthan100K"
"CLM53566","lessthan100K"
"CLM53573","lessthan100K"
"CLM53576","100K-lessthan200K"
"CLM53579","200KandAbove"
"CLM53587","lessthan100K"
"CLM53588","lessthan100K"
"CLM53594","200KandAbove"
"CLM53595","lessthan100K"
"CLM53599","lessthan100K"
"CLM53601","100K-lessthan200K"
"CLM53607","100K-lessthan200K"
"CLM53615","lessthan100K"
"CLM53616","lessthan100K"
"CLM53619","100K-lessthan200K"
"CLM53623","lessthan100K"
"CLM53627","100K-lessthan200K"
"CLM53633","lessthan100K"
"CLM53634","lessthan100K"
"CLM53637","200KandAbove"
"CLM53641","lessthan100K"
"CLM53645","lessthan100K"
"CLM53660","lessthan100K"
"CLM53665","lessthan100K"
"CLM53675","200KandAbove"
"CLM53677","100K-lessthan200K"
"CLM53678","100K-lessthan200K"
"CLM53679","lessthan100K"
"CLM53680","lessthan100K"
"CLM53682","lessthan100K"
"CLM53687","lessthan100K"
"CLM53688","lessthan100K"
"CLM53693","200KandAbove"
"CLM53700","200KandAbove"
"CLM53707","lessthan100K"
"CLM53716","200KandAbove"
"CLM53717","lessthan100K"
"CLM53720","100K-lessthan200K"
"CLM53723","100K-lessthan200K"
"CLM53732","100K-lessthan200K"
"CLM53735","100K-lessthan200K"
"CLM53738","lessthan100K"
"CLM53745","lessthan100K"
"CLM53747","200KandAbove"
"CLM53755","lessthan100K"
"CLM53760","lessthan100K"
"CLM53768","100K-lessthan200K"
"CLM53770","lessthan100K"
"CLM53776","lessthan100K"
"CLM53784","lessthan100K"
"CLM53785","200KandAbove"
"CLM53787","lessthan100K"
"CLM53788","lessthan100K"
"CLM53789","lessthan100K"
"CLM53803","lessthan100K"
"CLM53815","lessthan100K"
"CLM53817","lessthan100K"
"CLM53823","lessthan100K"
"CLM53828","100K-lessthan200K"
"CLM53831","200KandAbove"
"CLM53840","lessthan100K"
"CLM53860","lessthan100K"
"CLM53862","lessthan100K"
"CLM53880","lessthan100K"
"CLM53882","lessthan100K"
"CLM53884","lessthan100K"
"CLM53897","lessthan100K"
"CLM53900","lessthan100K"
"CLM53901","lessthan100K"
"CLM53902","lessthan100K"
"CLM53904","100K-lessthan200K"
"CLM53911","100K-lessthan200K"
"CLM53912","lessthan100K"
"CLM53915","lessthan100K"
"CLM53927","lessthan100K"
"CLM53928","lessthan100K"
"CLM53935","100K-lessthan200K"
"CLM53953","lessthan100K"
"CLM53954","lessthan100K"
"CLM53957","lessthan100K"
"CLM53959","lessthan100K"
"CLM53960","200KandAbove"
"CLM53963","lessthan100K"
"CLM53965","100K-lessthan200K"
"CLM53966","lessthan100K"
"CLM53967","lessthan100K"
"CLM53968","lessthan100K"
"CLM53974","lessthan100K"
"CLM53979","lessthan100K"
"CLM53985","100K-lessthan200K"
"CLM53988","lessthan100K"
"CLM53994","200KandAbove"
"CLM53996","lessthan100K"
"CLM53998","200KandAbove"
"CLM54008","lessthan100K"
"CLM54010","lessthan100K"
"CLM54019","lessthan100K"
"CLM54021","lessthan100K"
"CLM54024","lessthan100K"
"CLM54025","lessthan100K"
"CLM54032","100K-lessthan200K"
"CLM54033","lessthan100K"
"CLM54038","100K-lessthan200K"
"CLM54039","lessthan100K"
"CLM54043","200KandAbove"
"CLM54044","lessthan100K"
"CLM54045","200KandAbove"
"CLM54047","100K-lessthan200K"
"CLM54054","lessthan100K"
"CLM54070","lessthan100K"
"CLM54071","200KandAbove"
"CLM54075","lessthan100K"
"CLM54079","lessthan100K"
"CLM54080","100K-lessthan200K"
"CLM54083","lessthan100K"
"CLM54084","lessthan100K"
"CLM54097","100K-lessthan200K"
"CLM54098","lessthan100K"
"CLM54100","lessthan100K"
"CLM54103","lessthan100K"
"CLM54104","lessthan100K"
"CLM54105","lessthan100K"
"CLM54106","200KandAbove"
"CLM54118","lessthan100K"
"CLM54121","lessthan100K"
"CLM54124","lessthan100K"
"CLM54125","lessthan100K"
"CLM54126","lessthan100K"
"CLM54131","lessthan100K"
"CLM54139","lessthan100K"
"CLM54140","lessthan100K"
"CLM54146","lessthan100K"
"CLM54157","200KandAbove"
"CLM54158","200KandAbove"
"CLM54160","lessthan100K"
"CLM54163","200KandAbove"
"CLM54170","lessthan100K"
"CLM54173","lessthan100K"
"CLM54179","lessthan100K"
"CLM54189","lessthan100K"
"CLM54194","100K-lessthan200K"
"CLM54196","200KandAbove"
"CLM54198","lessthan100K"
"CLM54200","lessthan100K"
"CLM54203","lessthan100K"
"CLM54204","lessthan100K"
"CLM54207","lessthan100K"
"CLM54209","lessthan100K"
"CLM54223","lessthan100K"
"CLM54224","lessthan100K"
"CLM54228","lessthan100K"
"CLM54230","200KandAbove"
"CLM54232","200KandAbove"
"CLM54234","lessthan100K"
"CLM54237","lessthan100K"
"CLM54241","lessthan100K"
"CLM54242","100K-lessthan200K"
"CLM54243","100K-lessthan200K"
"CLM54251","100K-lessthan200K"
"CLM54255","lessthan100K"
"CLM54256","lessthan100K"
"CLM54263","lessthan100K"
"CLM54272","200KandAbove"
"CLM54273","200KandAbove"
"CLM54279","100K-lessthan200K"
"CLM54281","lessthan100K"
"CLM54283","lessthan100K"
"CLM54286","200KandAbove"
"CLM54294","200KandAbove"
"CLM54303","lessthan100K"
"CLM54305","lessthan100K"
"CLM54314","lessthan100K"
"CLM54316","lessthan100K"
"CLM54322","100K-lessthan200K"
"CLM54323","lessthan100K"
"CLM54324","100K-lessthan200K"
"CLM54331","lessthan100K"
"CLM54335","100K-lessthan200K"
"CLM54341","lessthan100K"
"CLM54343","lessthan100K"
"CLM54346","lessthan100K"
"CLM54352","lessthan100K"
"CLM54356","200KandAbove"
"CLM54371","lessthan100K"
"CLM54376","100K-lessthan200K"
"CLM54380","lessthan100K"
"CLM54386","lessthan100K"
"CLM54387","lessthan100K"
"CLM54393","lessthan100K"
"CLM54398","lessthan100K"
"CLM54400","lessthan100K"
"CLM54402","lessthan100K"
"CLM54404","200KandAbove"
"CLM54405","lessthan100K"
"CLM54407","lessthan100K"
"CLM54412","100K-lessthan200K"
"CLM54414","lessthan100K"
"CLM54418","lessthan100K"
"CLM54424","200KandAbove"
"CLM54426","lessthan100K"
"CLM54428","lessthan100K"
"CLM54430","lessthan100K"
"CLM54438","lessthan100K"
"CLM54443","200KandAbove"
"CLM54448","lessthan100K"
"CLM54459","lessthan100K"
"CLM54463","lessthan100K"
"CLM54464","lessthan100K"
"CLM54469","lessthan100K"
"CLM54470","lessthan100K"
"CLM54472","lessthan100K"
"CLM54488","lessthan100K"
"CLM54494","100K-lessthan200K"
"CLM54496","100K-lessthan200K"
"CLM54504","lessthan100K"
"CLM54511","lessthan100K"
"CLM54513","100K-lessthan200K"
"CLM54518","100K-lessthan200K"
"CLM54523","lessthan100K"
"CLM54524","lessthan100K"
"CLM54527","lessthan100K"
"CLM54529","lessthan100K"
"CLM54530","100K-lessthan200K"
"CLM54531","lessthan100K"
"CLM54536","200KandAbove"
"CLM54543","lessthan100K"
"CLM54561","lessthan100K"
"CLM54562","lessthan100K"
"CLM54570","lessthan100K"
"CLM54572","lessthan100K"
"CLM54573","lessthan100K"
"CLM54578","200KandAbove"
"CLM54581","lessthan100K"
"CLM54582","lessthan100K"
"CLM54588","100K-lessthan200K"
"CLM54589","lessthan100K"
"CLM54592","200KandAbove"
"CLM54596","lessthan100K"
"CLM54598","lessthan100K"
"CLM54602","lessthan100K"
"CLM54603","lessthan100K"
"CLM54605","lessthan100K"
"CLM54606","lessthan100K"
"CLM54613","200KandAbove"
"CLM54616","lessthan100K"
"CLM54618","100K-lessthan200K"
"CLM54623","lessthan100K"
"CLM54626","lessthan100K"
"CLM54628","lessthan100K"
"CLM54632","100K-lessthan200K"
"CLM54640","lessthan100K"
"CLM54646","200KandAbove"
"CLM54648","200KandAbove"
"CLM54649","100K-lessthan200K"
"CLM54659","lessthan100K"
"CLM54660","lessthan100K"
"CLM54664","200KandAbove"
"CLM54669","lessthan100K"
"CLM54670","lessthan100K"
"CLM54672","lessthan100K"
"CLM54674","lessthan100K"
"CLM54675","lessthan100K"
"CLM54676","lessthan100K"
"CLM54692","100K-lessthan200K"
"CLM54697","lessthan100K"
"CLM54699","100K-lessthan200K"
"CLM54701","lessthan100K"
"CLM54702","lessthan100K"
"CLM54703","lessthan100K"
"CLM54704","lessthan100K"
"CLM54705","lessthan100K"
"CLM54708","lessthan100K"
"CLM54709","100K-lessthan200K"
"CLM54710","100K-lessthan200K"
"CLM54717","lessthan100K"
"CLM54718","lessthan100K"
"CLM54723","lessthan100K"
"CLM54726","lessthan100K"
"CLM54739","200KandAbove"
"CLM54743","lessthan100K"
"CLM54754","lessthan100K"
"CLM54759","lessthan100K"
"CLM54771","lessthan100K"
"CLM54773","lessthan100K"
"CLM54777","lessthan100K"
"CLM54778","lessthan100K"
"CLM54782","lessthan100K"
"CLM54783","100K-lessthan200K"
"CLM54784","lessthan100K"
