"","ID","CCAvg","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard"
"146",1525,0.1,0,1,0,1,1,1
"147",1598,0.1,0,0,1,0,0,1
"148",1663,0.1,0,0,0,0,0,0
"149",1704,0.1,0,0,0,0,1,0
"150",1707,0.1,0,0,0,0,1,0
"151",1807,0.1,0,0,0,0,0,0
"152",1845,0.1,0,0,0,0,0,1
"153",1847,0.1,0,0,0,0,1,0
"154",1895,0.1,0,0,0,0,1,1
"155",1898,0.1,0,0,0,0,0,0
"156",1899,0.1,0,0,0,0,1,0
"157",2001,0.1,0,0,0,0,1,0
"158",2007,0.1,0,0,0,1,1,1
"159",2061,0.1,0,0,0,0,1,1
"160",2081,0.1,0,0,0,0,1,0
"161",2124,0.1,0,0,0,0,1,0
"162",2140,0.1,0,0,0,0,1,0
"163",2256,0.1,0,0,0,0,1,0
"164",2294,0.1,0,0,0,0,1,0
"165",2326,0.1,0,0,0,0,0,0
"166",2530,0.1,0,0,0,0,1,1
"167",2630,0.1,0,0,0,0,1,0
"168",2670,0.1,0,0,1,0,0,1
"169",2696,0.1,0,0,0,0,0,0
"170",2721,0.1,0,0,0,0,0,1
"171",2751,0.1,0,0,0,0,0,0
"172",2756,0.1,0,0,0,0,1,1
"173",2789,0.1,0,0,0,0,1,0
"174",2814,0.1,0,0,0,0,1,0
"175",2822,0.1,0,0,0,0,1,0
"176",2874,0.1,0,0,1,0,1,0
"177",2876,0.1,0,0,0,0,1,1
"178",2882,0.1,0,0,0,0,1,0
"179",2909,0.1,0,0,0,0,1,0
"180",2994,0.1,0,0,0,0,0,1
"181",3064,0.1,0,0,0,0,0,0
"182",3099,0.1,0,0,0,0,0,0
"183",3107,0.1,0,0,0,0,0,0
"184",3117,0.1,0,0,0,0,0,1
"185",3144,0.1,0,0,0,0,1,0
"186",3157,0.1,0,0,0,0,0,0
"187",3215,0.1,0,0,0,0,1,0
"188",3238,0.1,0,0,0,1,1,1
"189",3291,0.1,0,0,0,0,0,0
"190",3329,0.1,0,0,0,0,0,0
"191",3332,0.1,0,0,0,0,0,1
"192",3370,0.1,0,0,0,0,1,0
"193",3440,0.1,0,0,0,1,1,1
"194",3539,0.1,0,0,0,0,0,0
"195",3588,0.1,0,0,0,0,1,0
"196",3591,0.1,0,0,0,0,1,1
"197",3603,0.1,0,0,0,0,1,1
"198",3604,0.1,0,0,0,0,1,1
"199",3659,0.1,0,0,0,0,0,0
"200",3719,0.1,0,0,0,0,0,1
"201",3730,0.1,0,0,0,0,1,0
"202",3834,0.1,0,0,0,0,1,0
"203",3861,0.1,0,0,0,0,1,1
"204",3909,0.1,0,0,0,0,0,0
"205",3954,0.1,0,0,0,0,0,0
"206",4025,0.1,0,0,0,0,1,0
"207",4064,0.1,0,0,0,0,0,1
"208",4161,0.1,0,0,0,0,1,1
"209",4221,0.1,0,0,1,0,1,0
"210",4251,0.1,0,0,0,0,0,1
"211",4253,0.1,0,0,0,0,0,0
"212",4320,0.1,0,0,0,0,0,1
"213",4398,0.1,0,0,0,0,1,0
"214",4400,0.1,0,0,0,0,0,0
"215",4454,0.1,0,0,0,0,0,0
"216",4464,0.1,0,0,0,0,0,0
"217",4468,0.1,0,0,0,0,0,0
"218",4511,0.1,0,0,0,0,0,0
"219",4522,0.1,0,0,0,0,0,0
"220",4544,0.1,0,0,0,0,1,0
"221",4561,0.1,0,0,0,1,1,1
"222",4645,0.1,0,0,0,0,1,0
"223",4665,0.1,0,0,0,0,0,0
"224",4760,0.1,0,0,0,0,1,0
"225",4782,0.1,0,0,1,0,1,0
"226",4822,0.1,0,0,0,0,1,1
"227",4870,0.1,0,0,0,0,0,1
"228",4878,0.1,0,0,0,0,0,0
"229",4910,0.1,0,0,0,0,0,1
"230",4944,0.1,0,0,0,0,1,0
"231",4968,0.1,0,0,0,0,1,0
"232",2902,0.1,76,0,0,0,1,0
"233",1147,0.1,78,0,1,0,0,0
"234",1473,0.1,83,0,0,0,1,0
"235",2348,0.1,87,0,0,0,0,1
"236",528,0.1,89,0,0,0,1,0
"237",1520,0.1,90,0,0,0,1,0
"238",2548,0.1,0,0,0,0,1,0
"239",1136,0.1,91,0,1,0,1,0
"240",2300,0.1,91,0,0,0,0,0
"241",2515,0.1,91,0,1,0,0,0
"242",3600,0.1,91,0,0,1,1,1
"243",2370,0.1,93,0,0,0,1,0
"244",1771,0.1,94,0,0,0,0,0
"245",4620,0.1,96,0,0,0,0,0
"246",2949,0.1,98,0,0,0,0,1
"247",2194,0.1,102,0,0,0,1,0
"248",3149,0.1,106,0,0,0,0,0
"249",394,0.1,109,0,1,1,1,1
"250",3448,0.1,109,0,0,0,1,0
"251",1983,0.1,0,0,0,0,1,0
"252",1094,0.1,111,0,0,0,1,0
"253",2098,0.1,113,0,0,0,1,0
"254",2700,0.1,114,0,0,0,0,0
"255",3841,0.1,114,0,0,0,0,0
"256",4904,0.1,0,0,0,0,1,1
"257",3890,0.1,121,0,0,0,1,0
"258",4115,0.1,121,0,0,0,0,0
"259",4292,0.1,124,0,0,0,1,0
"260",2153,0.1,128,0,0,0,1,0
"261",4135,0.1,131,0,0,0,0,0
"262",1032,0.1,136,0,0,0,1,0
"263",2661,0.1,144,0,1,0,1,0
"264",2812,0.1,145,0,0,0,0,0
"265",1821,0.1,148,0,0,0,1,0
"266",1368,0.1,149,0,0,0,0,1
"267",4156,0.1,149,0,0,0,1,1
"268",3028,0.1,152,0,0,0,1,0
"269",2541,0.1,153,0,0,0,1,0
"270",1539,0.1,157,0,0,0,1,0
"271",472,0.1,161,0,0,0,1,1
"272",569,0.1,161,0,0,0,1,1
"273",1443,0.1,162,0,1,0,1,0
"274",2941,0.1,163,0,0,0,1,0
"275",3943,0.1,170,0,0,0,1,0
"276",3029,0.1,178,0,0,0,1,1
"277",4173,0.1,182,0,0,0,1,0
"278",1842,0.1,199,0,0,0,1,1
"279",53,0.1,207,0,0,0,0,0
"280",1331,0.1,224,0,0,0,1,1
"281",2841,0.1,240,0,1,0,0,0
"282",2138,0.1,247,0,0,0,1,0
"283",4733,0.1,247,0,0,0,0,0
"284",1295,0.1,257,0,0,0,1,1
"285",3072,0.1,257,0,0,0,0,1
"286",3334,0.1,280,0,0,0,1,0
"287",3918,0.1,292,0,0,0,1,0
"288",3063,0.1,297,0,0,0,0,1
"289",2470,0.1,307,0,0,0,0,1
"290",27,0.2,0,0,0,0,0,0
"291",55,0.2,0,0,0,0,1,0
"292",59,0.2,0,0,0,0,0,0
"293",70,0.2,0,0,0,0,1,0
"294",96,0.2,0,0,0,0,1,0
"295",121,0.2,0,0,0,0,1,0
"296",179,0.2,0,0,0,0,1,1
"297",212,0.2,0,0,0,0,0,0
"298",239,0.2,0,0,0,0,1,1
"299",384,0.2,0,0,0,0,1,0
"300",391,0.2,0,0,0,0,1,0
"301",400,0.2,0,0,0,0,1,1
"302",425,0.2,0,0,0,0,0,0
"303",453,0.2,0,0,0,0,0,0
"304",485,0.2,0,0,0,0,1,1
"305",525,0.2,0,0,0,0,1,0
"306",531,0.2,0,0,0,0,0,1
"307",606,0.2,0,0,0,0,1,1
"308",640,0.2,0,0,0,0,1,1
"309",673,0.2,0,0,0,0,1,0
"310",764,0.2,0,0,0,0,0,1
"311",775,0.2,0,0,0,0,0,1
"312",796,0.2,0,0,0,0,0,1
"313",802,0.2,0,0,0,0,1,0
"314",826,0.2,0,0,0,0,0,0
"315",851,0.2,0,0,0,0,0,0
"316",858,0.2,0,0,0,1,1,1
"317",954,0.2,0,0,1,0,1,0
"318",977,0.2,0,0,1,0,0,0
"319",1025,0.2,0,1,0,1,1,0
"320",1050,0.2,0,0,0,0,1,0
"321",1076,0.2,0,0,0,0,0,0
"322",1101,0.2,0,0,0,0,1,0
"323",1125,0.2,0,0,0,0,0,1
"324",1160,0.2,0,0,0,0,0,1
"325",1182,0.2,0,0,1,0,0,0
"326",1213,0.2,0,0,0,0,0,0
"327",1228,0.2,0,0,0,0,0,0
"328",1260,0.2,0,0,0,0,1,0
"329",1325,0.2,0,0,0,0,1,0
"330",1328,0.2,0,0,0,0,1,0
"331",1346,0.2,0,0,0,0,0,0
"332",1382,0.2,0,0,0,0,1,0
"333",1436,0.2,0,0,0,0,1,0
"334",1461,0.2,0,0,0,0,1,0
"335",1462,0.2,0,0,0,0,1,0
"336",1478,0.2,0,0,0,0,1,1
"337",1531,0.2,0,0,0,0,1,1
"338",1582,0.2,0,0,0,0,0,1
"339",1590,0.2,0,1,0,0,1,0
"340",1673,0.2,0,1,0,1,1,1
"341",1694,0.2,0,0,0,0,0,0
"342",1716,0.2,0,0,0,0,1,0
"343",1752,0.2,0,0,0,0,0,0
"344",1767,0.2,0,0,1,0,0,0
"345",1788,0.2,0,0,1,1,1,1
"346",1789,0.2,0,0,0,0,1,0
"347",1811,0.2,0,0,0,0,1,0
"348",1818,0.2,0,0,0,0,0,1
"349",1900,0.2,0,0,0,0,1,0
"350",1924,0.2,0,0,0,0,1,0
"351",1940,0.2,0,0,0,0,1,0
"352",1976,0.2,0,0,0,0,1,1
"353",2020,0.2,0,0,1,1,1,0
"354",2021,0.2,0,0,1,0,0,0
"355",2025,0.2,0,1,0,0,0,0
"356",2033,0.2,0,0,1,0,0,1
"357",2044,0.2,0,0,0,0,1,1
"358",2052,0.2,0,0,0,0,0,0
"359",2084,0.2,0,0,0,0,1,0
"360",2105,0.2,0,0,0,0,1,0
"361",2132,0.2,0,0,0,0,0,0
"362",2187,0.2,0,0,0,0,1,0
"363",2297,0.2,0,0,0,0,0,1
"364",2368,0.2,0,0,0,0,1,1
"365",2377,0.2,0,0,0,0,0,0
"366",2464,0.2,0,0,0,0,1,0
"367",2490,0.2,0,0,0,0,1,0
"368",2558,0.2,0,0,0,0,1,0
"369",2595,0.2,0,0,0,0,0,0
"370",2599,0.2,0,0,0,0,1,0
"371",2604,0.2,0,0,0,0,1,0
"372",2694,0.2,0,0,0,0,1,0
"373",2732,0.2,0,0,0,0,1,0
"374",2790,0.2,0,0,0,0,1,1
"375",2827,0.2,0,0,0,0,1,0
"376",2848,0.2,0,0,0,0,1,0
"377",2866,0.2,0,0,0,0,1,0
"378",2891,0.2,0,0,0,0,1,1
"379",2924,0.2,0,0,0,0,0,0
"380",2950,0.2,0,0,0,0,1,0
"381",2960,0.2,0,0,0,0,0,0
"382",3000,0.2,0,0,0,0,0,1
"383",3054,0.2,0,0,0,0,1,0
"384",3059,0.2,0,0,0,0,1,0
"385",3116,0.2,0,0,0,0,0,0
"386",3126,0.2,0,0,0,0,1,1
"387",3128,0.2,0,0,0,0,1,0
"388",3175,0.2,0,0,0,0,0,1
"389",3202,0.2,0,0,0,0,0,0
"390",3216,0.2,0,0,0,0,1,0
"391",3245,0.2,0,0,0,0,1,0
"392",3310,0.2,0,0,0,0,1,0
"393",3388,0.2,0,0,0,0,1,0
"394",3411,0.2,0,0,0,0,1,0
"395",3527,0.2,0,0,0,0,1,0
"396",3628,0.2,0,0,0,0,0,1
"397",3675,0.2,0,0,1,0,0,0
"398",3697,0.2,0,0,0,0,0,1
"399",3716,0.2,0,0,0,0,0,1
"400",3735,0.2,0,0,0,0,1,0
"401",3795,0.2,0,0,1,0,1,0
"402",3800,0.2,0,0,0,0,0,1
"403",3842,0.2,0,0,0,0,1,0
"404",3969,0.2,0,0,0,0,1,1
"405",3988,0.2,0,0,0,0,1,1
"406",4042,0.2,0,0,1,1,1,1
"407",4074,0.2,0,0,0,0,0,0
"408",4087,0.2,0,0,1,0,0,0
"409",4118,0.2,0,0,1,0,0,0
"410",4125,0.2,0,1,0,0,0,0
"411",4194,0.2,0,0,0,0,1,0
"412",4200,0.2,0,0,0,0,0,1
"413",4219,1.5,0,0,0,0,0,1
"414",4236,0.2,0,0,0,0,1,0
"415",4243,0.2,0,0,0,0,1,0
"416",4264,0.2,0,0,0,0,0,0
"417",4317,0.2,0,0,1,0,1,0
"418",4348,0.2,0,0,0,0,1,0
"419",4450,0.2,0,0,0,0,0,1
"420",4461,0.2,0,0,0,0,1,0
"421",4490,0.2,0,0,0,0,1,0
"422",4519,0.2,0,0,0,0,1,0
"423",4543,0.2,0,0,1,1,1,1
"424",4546,0.2,0,0,0,0,1,0
"425",4588,0.2,0,0,0,0,0,0
"426",4631,0.2,0,0,0,0,0,0
"427",4714,0.2,0,0,0,0,1,0
"428",4744,0.2,0,0,0,0,1,0
"429",4754,0.2,0,0,1,1,1,1
"430",4785,0.2,0,0,0,0,0,0
"431",4840,0.2,0,0,0,0,1,0
"432",4854,0.2,0,0,0,0,1,0
"433",4868,0.2,0,0,0,0,1,0
"434",4957,0.2,0,0,1,0,0,1
"435",4983,0.2,0,0,0,0,0,1
"436",778,0.2,76,0,0,0,1,1
"437",1991,0.2,76,0,0,0,1,1
"438",2158,0.2,78,0,1,0,0,0
"439",4465,0.2,79,0,0,0,1,1
"440",2510,0.2,81,0,0,0,0,1
"441",4580,0.2,81,0,0,0,1,0
"442",1045,0.2,83,0,0,0,1,1
"443",1111,0.2,83,0,0,0,1,0
"444",1954,0.2,83,0,0,0,1,0
"445",2196,0.2,83,0,0,0,1,0
"446",1059,0.2,86,0,0,0,1,0
"447",2745,0.2,86,0,0,0,0,0
"448",1157,0.2,87,0,0,0,0,0
"449",1214,0.2,87,0,0,0,0,0
"450",4267,0.2,87,0,0,0,0,1
"451",4193,0.2,89,0,0,0,1,0
"452",599,0.2,90,0,0,0,0,0
"453",2288,0.2,90,0,0,0,1,0
"454",1224,0.2,91,0,0,0,0,0
"455",3917,0.2,96,0,0,0,0,0
"456",1229,0.2,98,0,0,0,0,0
"457",627,0.2,100,0,0,0,0,1
"458",1270,0.2,100,0,0,0,1,1
"459",2766,0.2,101,0,0,0,1,0
"460",3940,0.2,102,0,0,0,0,1
"461",4327,0.2,102,0,0,0,1,0
"462",4410,0.2,102,0,0,0,1,0
"463",2782,0.2,104,0,0,0,0,0
"464",2416,0.2,106,0,0,0,1,1
"465",3039,0.2,115,0,0,0,1,0
"466",4287,0.2,131,0,0,0,1,1
"467",3221,0.2,135,0,0,0,1,0
"468",719,0.2,137,0,0,1,1,1
"469",2073,0.2,137,0,0,0,1,1
"470",560,0.2,138,0,0,0,1,0
"471",4882,0.2,140,0,0,0,1,0
"472",434,0.2,141,0,0,0,1,1
"473",1052,0.2,141,0,1,0,0,0
"474",2024,0.2,151,0,0,0,1,0
"475",2862,0.2,151,0,0,0,0,1
"476",1404,0.2,154,0,1,0,0,1
"477",273,0.2,158,0,0,0,1,1
"478",960,0.2,163,0,0,0,0,0
"479",2241,0.2,167,0,1,0,0,0
"480",636,0.2,169,0,0,0,1,0
"481",1827,0.2,171,0,0,0,0,0
"482",901,0.2,172,0,0,0,0,1
"483",881,0.2,177,0,0,0,1,0
"484",48,0.2,211,1,1,1,1,1
"485",2108,0.2,229,0,0,0,0,0
"486",1738,0.2,230,0,1,0,0,0
"487",1975,0.2,242,0,0,0,0,0
"488",2191,0.2,294,0,1,0,0,1
"489",1233,0.2,297,0,0,0,1,0
"490",2398,0.2,309,0,0,0,1,0
"491",841,0.2,310,0,0,0,0,1
"492",3468,0.2,364,1,0,0,1,0
"493",529,0.2,378,1,0,0,1,0
"494",8,0.3,0,0,0,0,0,1
"495",77,0.3,0,0,0,0,0,0
"496",99,0.3,0,0,0,0,1,0
"497",104,0.3,0,0,0,0,1,0
"498",187,0.3,0,0,0,0,1,1
"499",219,0.3,0,0,0,0,1,0
"500",221,0.3,0,0,0,0,0,1
"501",259,0.3,0,0,0,0,1,0
"502",263,0.3,0,0,0,1,1,1
"503",316,0.3,0,0,0,0,1,0
"504",356,0.3,0,0,0,0,0,1
"505",367,0.3,0,0,0,0,1,0
"506",392,0.3,0,0,0,0,0,1
"507",451,0.3,0,0,0,0,1,1
"508",458,0.3,0,0,0,0,0,0
"509",501,0.3,0,0,0,0,0,0
"510",515,0.3,0,0,0,0,1,0
"511",536,0.3,0,0,0,0,1,0
"512",551,0.3,0,0,0,0,1,1
"513",554,0.3,0,0,0,0,0,0
"514",577,0.3,0,0,0,0,0,1
"515",643,0.3,0,0,0,0,1,0
"516",690,0.3,0,0,1,1,1,0
"517",713,0.3,0,0,0,0,1,0
"518",790,0.3,0,0,0,0,1,0
"519",821,0.3,0,0,0,0,1,0
"520",886,0.3,0,0,0,0,1,0
"521",923,0.3,0,0,1,1,1,0
"522",926,0.3,0,0,0,0,0,1
"523",940,0.3,0,0,0,0,1,1
"524",958,0.3,0,0,0,0,1,0
"525",964,0.3,0,0,0,0,0,0
"526",1034,0.3,0,0,0,0,1,0
"527",1092,0.3,0,0,0,0,1,1
"528",1097,0.3,0,0,0,0,1,0
"529",1114,0.3,0,0,0,0,0,1
"530",1141,0.3,0,0,0,0,1,1
"531",1218,0.3,0,0,0,0,1,0
"532",1231,0.3,0,0,0,0,1,1
"533",1311,0.3,0,0,0,0,0,0
"534",1320,0.3,0,0,0,0,0,1
"535",1374,0.3,0,1,0,0,1,0
"536",1421,0.3,0,0,0,1,1,1
"537",1491,0.3,0,0,0,0,1,1
"538",1492,0.3,0,0,0,0,1,1
"539",1502,0.3,0,0,1,0,0,1
"540",1533,0.3,0,0,0,0,1,1
"541",1541,0.3,0,0,1,1,1,1
"542",1620,0.3,0,0,0,0,1,0
"543",1621,0.3,0,0,0,0,1,0
"544",1623,0.3,0,0,0,0,1,0
"545",1625,0.3,0,0,1,0,1,0
"546",1721,0.3,0,0,0,0,1,0
"547",1729,0.3,0,0,0,0,1,0
"548",1747,0.3,0,0,0,0,1,1
"549",1791,0.3,0,0,1,0,0,1
"550",1829,0.3,0,0,0,0,0,0
"551",1908,0.3,0,0,0,0,0,0
"552",1984,0.3,0,0,0,0,0,0
"553",2034,0.3,0,0,0,0,1,1
"554",2043,0.3,0,0,0,0,1,0
"555",2045,0.3,0,0,0,0,1,0
"556",2069,0.3,0,0,0,0,1,0
"557",2121,0.3,0,0,0,0,1,0
"558",2198,0.3,0,0,0,0,1,0
"559",2219,0.3,0,0,0,0,0,0
"560",2223,0.3,0,0,0,0,1,0
"561",2311,0.3,0,0,0,0,0,0
"562",2314,0.3,0,0,0,0,1,1
"563",2366,0.3,0,0,0,0,0,0
"564",2439,0.3,0,0,0,0,0,1
"565",2677,0.3,0,0,1,0,1,0
"566",2708,0.3,0,1,0,1,1,1
"567",2731,0.3,0,0,1,0,0,0
"568",2737,0.3,0,0,0,0,0,0
"569",2740,0.3,0,0,0,0,1,0
"570",2760,0.3,0,0,0,0,0,0
"571",2775,0.3,0,0,0,0,1,0
"572",2799,0.3,0,0,0,0,1,0
"573",2804,0.3,0,0,0,0,1,0
"574",2825,0.3,0,0,0,0,0,0
"575",2873,0.3,0,0,0,0,0,0
"576",2900,0.3,0,0,0,0,0,0
"577",2906,0.3,0,0,0,0,1,0
"578",2930,0.3,0,0,0,0,0,0
"579",2984,0.3,0,0,0,0,1,1
"580",2999,0.3,0,0,0,0,0,0
"581",3036,0.3,0,0,0,0,0,0
"582",3080,0.3,0,0,0,0,1,1
"583",3086,0.3,0,0,0,0,0,1
"584",3087,0.3,0,0,0,0,1,0
"585",3088,0.3,0,0,0,0,1,0
"586",3111,0.3,0,0,0,0,0,1
"587",3130,0.3,0,0,1,0,0,1
"588",3140,0.3,0,0,0,0,1,0
"589",3154,0.3,0,0,0,0,0,1
"590",3156,0.3,0,0,0,0,1,0
"591",3173,0.3,0,0,0,0,0,0
"592",3190,0.3,0,0,0,0,0,0
"593",3203,0.3,0,0,1,0,1,0
"594",3217,0.3,0,0,0,0,0,0
"595",3225,0.3,0,0,1,0,1,0
"596",3232,0.3,0,0,1,0,1,0
"597",3240,0.3,0,0,0,0,1,0
"598",3255,0.3,0,0,0,0,1,0
"599",3298,0.3,0,0,0,0,1,1
"600",3312,0.3,0,0,0,0,0,0
"601",3342,0.3,0,0,1,0,1,0
"602",3349,0.3,0,0,0,0,0,0
"603",3355,0.3,0,0,0,0,1,0
"604",3363,0.3,0,0,0,0,1,0
"605",3391,0.3,0,0,0,0,0,0
"606",3431,0.3,0,0,0,0,1,1
"607",3442,0.3,0,0,1,1,1,1
"608",3454,0.3,0,0,0,0,1,0
"609",3455,0.3,0,0,0,0,1,0
"610",3476,0.3,0,0,0,0,0,0
"611",3482,0.3,0,0,0,0,1,0
"612",3498,0.3,0,0,0,0,0,0
"613",3538,0.3,0,0,0,0,1,0
"614",3541,0.3,0,0,1,0,0,1
"615",3575,0.3,0,0,0,0,0,1
"616",3577,0.3,0,0,0,0,0,0
"617",3620,0.3,0,0,0,0,1,0
"618",3634,0.3,0,0,0,0,1,0
"619",3678,0.3,0,0,0,0,0,1
"620",3722,0.3,0,0,1,1,1,1
"621",3734,0.3,0,0,0,0,1,0
"622",3754,0.3,0,0,0,0,1,1
"623",3766,0.3,0,0,0,0,1,0
"624",3787,0.3,0,0,0,0,1,0
"625",3792,0.3,0,0,0,0,0,0
"626",3798,0.3,0,0,0,0,1,0
"627",3869,0.3,0,0,0,0,0,0
"628",3979,0.3,0,0,0,0,1,0
"629",3985,0.3,0,0,0,0,0,0
"630",4014,0.3,0,0,0,0,0,0
"631",4032,0.3,0,0,0,0,1,0
"632",4075,0.3,0,0,0,0,1,0
"633",4077,0.3,0,0,0,0,0,0
"634",4144,0.3,0,0,0,0,1,0
"635",4174,0.3,0,0,0,0,1,0
"636",4216,0.3,0,0,0,0,0,0
"637",4265,0.3,0,0,1,1,1,1
"638",4299,0.3,0,0,0,0,1,0
"639",4301,0.3,0,0,0,0,1,0
"640",4441,0.3,0,0,0,0,0,0
"641",4477,0.3,0,0,0,0,0,0
"642",4523,0.3,0,0,0,0,0,0
"643",4529,0.3,0,0,0,0,0,0
"644",4583,0.3,0,0,0,0,1,0
"645",4609,0.3,0,0,0,0,1,0
"646",4613,0.3,0,0,0,0,1,0
"647",4658,0.3,0,0,0,0,0,1
